,complexity.dist_spec_init,complexity.fro_dist,complexity.fro_over_spec,complexity.inverse_margin,complexity.l2,complexity.l2_dist,complexity.log_prod_of_fro,complexity.log_prod_of_fro_over_margin,complexity.log_prod_of_spec,complexity.log_prod_of_spec_over_margin,complexity.log_sum_of_fro,complexity.log_sum_of_fro_over_margin,complexity.log_sum_of_spec,complexity.log_sum_of_spec_over_margin,complexity.pacbayes_flatness,complexity.pacbayes_init,complexity.pacbayes_mag_flatness,complexity.pacbayes_mag_init,complexity.pacbayes_mag_orig,complexity.pacbayes_orig,complexity.param_norm,complexity.params,complexity.path_norm,complexity.path_norm_over_margin,cross_entropy,data_seed,epoch,experiment_id,gen.gap,gen.train_acc,gen.val_acc,hp.lr,hp.model_depth,hp.model_width,index,is.converged,is.high_train_accuracy,is.last_epoch,repeat_id,seed,train_dataset_size,hp.dataset,complexity.dist_spec_init_adjusted1,complexity.fro_dist_adjusted1,complexity.fro_over_spec_adjusted1,complexity.inverse_margin_adjusted1,complexity.l2_adjusted1,complexity.l2_dist_adjusted1,complexity.pacbayes_flatness_adjusted1,complexity.pacbayes_init_adjusted1,complexity.pacbayes_mag_flatness_adjusted1,complexity.pacbayes_mag_init_adjusted1,complexity.pacbayes_mag_orig_adjusted1,complexity.pacbayes_orig_adjusted1,complexity.param_norm_adjusted1,complexity.path_norm_adjusted1,complexity.path_norm_over_margin_adjusted1,complexity.log_prod_of_fro_adjusted1,complexity.log_prod_of_fro_over_margin_adjusted1,complexity.log_prod_of_spec_adjusted1,complexity.log_prod_of_spec_over_margin_adjusted1,complexity.log_sum_of_fro_adjusted1,complexity.log_sum_of_fro_over_margin_adjusted1,complexity.log_sum_of_spec_adjusted1,complexity.log_sum_of_spec_over_margin_adjusted1,hp.train_dataset_size,complexity.log_spec_orig_main,complexity.log_spec_orig_main_adjusted1
21,45.45,2043,2128,0.03959,106.8,45.2,210.4,207.1,72.17,68.94,9.174,9.089,5.537,5.452,60.18,3.075e+04,4.031,6.006e+06,9.012e+06,1.716e+05,1.141e+04,7014380,8.912,0.3528,0.00898,42,77,-127866482121014666,0.4511,0.9992,0.5481,0.00631,6,14,21,True,True,True,1590114999786474398,4,6250,cifar10,0.08527,0.5717,0.5835,0.002517,0.1307,0.08504,0.09813,2.218,0.0254,31,37.97,5.241,1.351,0.03776,0.007513,100.8,99.2,31.72,30.1,0.2166,0.1742,-1.602,-1.644,6250,76.61,33.93
22,32.82,2457,935.2,0.04088,72.3,49.56,78.09,74.89,27.74,24.54,8.217,7.988,4.621,4.392,55.06,3.384e+04,8.759,6.075e+05,7.073e+05,7.198e+04,5227,531030,510.6,20.88,0.009767,42,41,3245632698784002773,0.3979,1,0.6021,0.00631,2,8,22,True,True,True,1590113428186189924,3,6250,cifar10,0.07247,0.6269,0.3868,0.002558,0.1076,0.08905,0.09386,2.327,0.03744,9.859,10.64,3.394,0.9145,0.2858,0.0578,34.67,33.08,9.501,7.902,-0.2618,-0.3759,-2.06,-2.174,6250,31.39,11.32
23,33.01,3774,1665,0.03311,92.5,61.43,84.57,81.16,29.31,25.9,8.679,8.436,4.733,4.489,86.66,8.179e+04,10.37,1.3e+06,1.542e+06,1.854e+05,8557,1186530,1068,35.37,0.009629,42,106,6884079626664233470,0.4251,1,0.5749,0.001,2,12,23,True,True,True,1590113849534355266,0,6250,cifar10,0.07267,0.7771,0.5161,0.002302,0.1217,0.09914,0.1178,3.617,0.04073,14.42,15.71,5.446,1.17,0.4134,0.07523,37.91,36.21,10.29,8.582,-0.03044,-0.1521,-2.004,-2.125,6250,33.32,12.29
24,33.01,2283,2426,0.02384,98.98,47.78,178.2,174.4,58.1,54.36,9.033,8.917,5.281,5.165,62.05,3.543e+04,7.111,2.99e+06,4.041e+06,1.52e+05,9797,2895530,113.4,2.703,0.009648,42,130,4108024635023438784,0.486,0.9979,0.5119,0.001,5,10,24,True,True,True,1590114153814073327,1,6250,cifar10,0.07267,0.6044,0.623,0.001953,0.1258,0.08743,0.09964,2.381,0.03373,21.87,25.43,4.931,1.252,0.1347,0.0208,84.71,82.85,24.68,22.81,0.1466,0.08818,-1.73,-1.788,6250,62.16,26.71
26,27.05,2361,1740,0.03746,87.03,48.59,113.3,110,37.82,34.53,8.659,8.495,4.887,4.722,64,3.78e+04,6.177,1.537e+06,1.977e+06,1.212e+05,7573,1516030,308.8,11.57,0.009675,42,22,-960831693199451593,0.4707,1,0.5293,0.003162,3,10,26,True,True,True,1590113328440067677,0,6250,cifar10,0.06579,0.6146,0.5276,0.002448,0.118,0.08817,0.1012,2.459,0.03144,15.68,17.79,4.404,1.101,0.2223,0.04302,52.27,50.62,14.54,12.9,-0.04048,-0.1226,-1.927,-2.009,6250,41.99,16.63
27,31.3,2195,2092,0.04151,102.8,46.85,149.5,146.3,49.77,46.59,9.008,8.886,5.172,5.05,62.05,3.407e+04,3.32,5.016e+06,7.222e+06,1.64e+05,1.057e+04,5629230,13.08,0.5428,0.009548,42,19,-5507333751871766013,0.4322,0.9998,0.5676,0.01,4,16,27,True,True,True,1590113728229959619,4,6250,cifar10,0.07077,0.5926,0.5786,0.002577,0.1283,0.08658,0.09964,2.335,0.02305,28.33,33.99,5.123,1.301,0.04574,0.009319,70.38,68.79,20.52,18.93,0.1338,0.07261,-1.784,-1.845,6250,54.24,22.75
28,40.66,3129,3524,0.03023,122.8,55.94,221.5,218,72.16,68.66,9.466,9.374,5.537,5.444,64,5.009e+04,4.161,6.179e+06,8.929e+06,2.413e+05,1.508e+04,7014380,34.48,1.042,0.009688,42,121,-1144163114263428380,0.4726,0.9994,0.5268,0.001585,6,14,28,True,True,True,1590113684196251295,0,6250,cifar10,0.08066,0.7076,0.7509,0.002199,0.1402,0.09461,0.1012,2.831,0.0258,31.44,37.8,6.214,1.553,0.07428,0.01291,106.4,104.6,31.71,29.96,0.3627,0.3166,-1.602,-1.648,6250,76.83,34.04
29,28.46,2283,1707,0.04399,92.38,47.78,115.5,112.4,38.95,35.83,8.77,8.614,4.943,4.787,64,3.654e+04,4.551,2.927e+06,3.901e+06,1.366e+05,8533,2962430,54.84,2.412,0.009375,42,17,-5125843615822465566,0.4273,1,0.5727,0.01,3,14,29,True,True,True,1590112977634594590,0,6250,cifar10,0.06748,0.6043,0.5225,0.002653,0.1216,0.08743,0.1012,2.418,0.02698,21.64,24.98,4.674,1.168,0.09367,0.01965,53.37,51.81,15.11,13.55,0.01475,-0.06335,-1.898,-1.977,6250,43.27,17.27
30,27.93,2765,2032,0.04224,97.8,52.58,117.4,114.3,39.09,35.93,8.867,8.709,4.95,4.792,64,4.426e+04,5.043,3.001e+06,3.917e+06,1.531e+05,9566,2962430,125.1,5.284,0.009995,42,18,3525081532476637291,0.4389,1,0.5611,0.00631,3,14,30,True,True,True,1590113659183786173,4,6250,cifar10,0.06685,0.6651,0.5702,0.0026,0.1251,0.09172,0.1012,2.661,0.02841,21.91,25.04,4.949,1.237,0.1415,0.02908,54.34,52.76,15.17,13.59,0.0632,-0.01591,-1.895,-1.974,6250,43.54,17.4
33,41.35,2240,2555,0.03114,107.4,47.33,211.7,208.2,70.34,66.87,9.208,9.117,5.489,5.397,58.4,3.273e+04,3.517,4.421e+06,6.529e+06,1.685e+05,1.154e+04,5157330,14.95,0.4657,0.0087,42,80,-5887905545788027288,0.4519,0.9994,0.5475,0.003162,6,12,33,True,True,True,1590114688343408520,3,6250,cifar10,0.08134,0.5987,0.6393,0.002232,0.1311,0.08702,0.09666,2.288,0.02372,26.6,32.32,5.193,1.359,0.04891,0.008632,101.5,99.73,30.8,29.06,0.2338,0.1881,-1.626,-1.672,6250,74.71,32.99
