,complexity.dist_spec_init,complexity.fro_dist,complexity.fro_over_spec,complexity.inverse_margin,complexity.l2,complexity.l2_dist,complexity.log_prod_of_fro,complexity.log_prod_of_fro_over_margin,complexity.log_prod_of_spec,complexity.log_prod_of_spec_over_margin,complexity.log_sum_of_fro,complexity.log_sum_of_fro_over_margin,complexity.log_sum_of_spec,complexity.log_sum_of_spec_over_margin,complexity.pacbayes_flatness,complexity.pacbayes_init,complexity.pacbayes_mag_flatness,complexity.pacbayes_mag_init,complexity.pacbayes_mag_orig,complexity.pacbayes_orig,complexity.param_norm,complexity.params,complexity.path_norm,complexity.path_norm_over_margin,cross_entropy,data_seed,epoch,experiment_id,gen.gap,gen.train_acc,gen.val_acc,hp.lr,hp.model_depth,hp.model_width,index,is.converged,is.high_train_accuracy,is.last_epoch,repeat_id,seed,train_dataset_size,hp.dataset,complexity.dist_spec_init_adjusted1,complexity.fro_dist_adjusted1,complexity.fro_over_spec_adjusted1,complexity.inverse_margin_adjusted1,complexity.l2_adjusted1,complexity.l2_dist_adjusted1,complexity.pacbayes_flatness_adjusted1,complexity.pacbayes_init_adjusted1,complexity.pacbayes_mag_flatness_adjusted1,complexity.pacbayes_mag_init_adjusted1,complexity.pacbayes_mag_orig_adjusted1,complexity.pacbayes_orig_adjusted1,complexity.param_norm_adjusted1,complexity.path_norm_adjusted1,complexity.path_norm_over_margin_adjusted1,complexity.log_prod_of_fro_adjusted1,complexity.log_prod_of_fro_over_margin_adjusted1,complexity.log_prod_of_spec_adjusted1,complexity.log_prod_of_spec_over_margin_adjusted1,complexity.log_sum_of_fro_adjusted1,complexity.log_sum_of_fro_over_margin_adjusted1,complexity.log_sum_of_spec_adjusted1,complexity.log_sum_of_spec_over_margin_adjusted1,hp.train_dataset_size,complexity.log_spec_orig_main,complexity.log_spec_orig_main_adjusted1
128,51.45,2260,1678,0.04163,102.2,47.54,205.9,202.7,73.12,69.94,9.055,8.971,5.562,5.478,56.69,3.205e+04,4,6.151e+06,8.828e+06,1.482e+05,1.045e+04,7014380,7.435,0.3095,0.008466,42,54,8862306381679044440,0.3592,0.9995,0.6403,0.01,6,14,128,True,True,True,1590115728438574907,2,12500,cifar10,0.06415,0.4252,0.3663,0.001825,0.09044,0.06167,0.06735,1.601,0.01789,22.18,26.58,3.443,0.9145,0.02439,0.004976,98.21,96.62,31.84,30.25,-0.1894,-0.2312,-1.936,-1.978,12500,77.37,33.97
130,32.35,2278,2014,0.03995,99.13,47.73,148.3,145.1,49.48,46.26,8.961,8.837,5.161,5.037,60.18,3.429e+04,4,3.994e+06,5.566e+06,1.479e+05,9827,4313080,23.16,0.9254,0.007857,42,18,-2289228439678869417,0.3435,0.9994,0.6559,0.00631,4,14,130,True,True,True,1590115070483990053,4,12500,cifar10,0.05087,0.4269,0.4014,0.001788,0.08905,0.06179,0.06939,1.656,0.01789,17.87,21.1,3.439,0.8867,0.04305,0.008604,69.43,67.82,20.02,18.41,-0.2361,-0.298,-2.136,-2.198,12500,53.87,22.22
131,28.82,3672,2513,0.03693,106.1,60.6,120.3,117,39.79,36.5,9.012,8.847,4.985,4.82,80.68,7.409e+04,6.489,2.994e+06,3.822e+06,2.273e+05,1.127e+04,2962430,500.1,18.47,0.009285,42,21,7978339655068851090,0.4069,1,0.5931,0.001585,3,14,131,True,True,True,1590115625040667397,4,12500,cifar10,0.04802,0.542,0.4483,0.001719,0.09215,0.06963,0.08034,2.435,0.02278,15.48,17.49,4.264,0.9494,0.2,0.03843,55.45,53.8,15.18,13.53,-0.2106,-0.2931,-2.224,-2.306,12500,44.32,17.45
133,28.84,2688,1910,0.04115,93.32,51.85,116.1,112.9,38.77,35.58,8.801,8.641,4.934,4.775,70.45,4.737e+04,6.554,2.267e+06,2.906e+06,1.534e+05,8708,2179230,252.3,10.38,0.009642,42,18,8552722761693282105,0.391,1,0.609,0.003162,3,12,133,True,True,True,1590115136972750174,4,12500,cifar10,0.04803,0.4637,0.3909,0.001814,0.0864,0.0644,0.07507,1.947,0.0229,13.47,15.25,3.503,0.8347,0.1421,0.02882,53.33,51.74,14.67,13.07,-0.3164,-0.3962,-2.25,-2.329,12500,43.13,16.85
137,28.83,2716,1888,0.03631,90.49,52.12,114.7,111.4,38.42,35.1,8.73,8.565,4.917,4.751,83.59,5.679e+04,7.339,1.522e+06,1.938e+06,1.711e+05,8188,1516030,624.1,22.66,0.009786,42,31,6568558403331794652,0.4414,1,0.5586,0.001,3,10,137,True,True,True,1590115678970162984,2,12500,cifar10,0.04802,0.4662,0.3887,0.001704,0.08508,0.06457,0.08178,2.131,0.02423,11.03,12.45,3.7,0.8093,0.2234,0.04258,52.63,50.97,14.49,12.83,-0.3516,-0.4345,-2.258,-2.341,12500,42.64,16.61
138,30.91,3465,2989,0.03947,112.8,58.86,154.5,151.2,50.22,46.98,9.199,9.075,5.19,5.065,75.31,6.525e+04,4.87,4.256e+06,5.656e+06,2.397e+05,1.273e+04,4313080,269.3,10.63,0.009874,42,20,8073524614828840347,0.3943,1,0.6057,0.001585,4,14,138,True,True,True,1590115778404642511,4,12500,cifar10,0.04973,0.5265,0.489,0.001777,0.095,0.06862,0.07762,2.285,0.01974,18.45,21.27,4.379,1.009,0.1468,0.02916,72.52,70.9,20.39,18.78,-0.1171,-0.1793,-2.122,-2.184,12500,54.99,22.78
139,44.47,2610,2751,0.03603,115,51.09,216.3,213,72.18,68.86,9.33,9.243,5.537,5.45,62.05,4.05e+04,3.761,6.1e+06,8.939e+06,2.053e+05,1.323e+04,7014380,12.11,0.4362,0.009743,42,64,-1831960413689477244,0.3622,0.9996,0.6374,0.003162,6,14,139,True,True,True,1590116356290497978,3,12500,cifar10,0.05964,0.4569,0.4691,0.001698,0.09593,0.06393,0.07045,1.8,0.01735,22.09,26.74,4.053,1.029,0.03112,0.005907,103.4,101.8,31.37,29.71,-0.05172,-0.09545,-1.948,-1.992,12500,76.78,33.67
141,35.24,2366,2380,0.02922,98.94,48.64,178.3,174.8,58.46,54.93,9.038,8.928,5.293,5.182,64,3.788e+04,11.35,3.186e+06,4.211e+06,1.566e+05,9789,2895530,125.7,3.674,0.009897,42,75,4108024635023438784,0.4015,0.9985,0.597,0.001,5,10,141,True,True,True,1590116352349413327,2,12500,cifar10,0.0531,0.4351,0.4363,0.001529,0.08897,0.06238,0.07155,1.741,0.03013,15.97,18.35,3.54,0.8849,0.1003,0.01714,84.44,82.67,24.51,22.75,-0.1978,-0.253,-2.07,-2.126,12500,62.7,26.63
142,41.64,2017,2097,0.03502,92.96,44.91,201.9,198.5,67.11,63.76,8.95,8.862,5.404,5.315,60.18,3.036e+04,4.513,2.096e+06,2.929e+06,1.3e+05,8641,2298230,45.94,1.609,0.00979,42,90,-5226700891785418501,0.4063,0.9996,0.5933,0.001585,6,8,142,True,True,True,1590114752405757760,0,12500,cifar10,0.05771,0.4017,0.4096,0.001674,0.08624,0.05994,0.06939,1.559,0.019,12.95,15.31,3.225,0.8314,0.06062,0.01134,96.22,94.54,28.84,27.16,-0.2417,-0.2858,-2.015,-2.059,12500,71.41,30.99
143,30.96,2932,2022,0.04351,101.5,54.15,118.9,115.8,40,36.87,8.942,8.785,4.996,4.839,75.31,5.523e+04,5.224,3.951e+06,5.162e+06,1.941e+05,1.031e+04,3865630,87.04,3.787,0.009206,42,15,-5623405005145988537,0.3622,1,0.6378,0.00631,3,16,143,True,True,True,1590114726373938912,2,12500,cifar10,0.04977,0.4843,0.4022,0.001866,0.09012,0.06582,0.07762,2.102,0.02044,17.78,20.32,3.94,0.908,0.08345,0.01741,54.74,53.18,15.28,13.72,-0.2459,-0.3242,-2.219,-2.297,12500,44.48,17.52
144,31.38,1636,994.2,0.04943,70.2,40.44,106.1,103,37.02,34.01,8.298,8.148,4.847,4.696,64,2.619e+04,6.554,1.005e+06,1.272e+06,7.887e+04,4928,972830,84.05,4.155,0.00992,42,18,-2959591463707652910,0.3655,0.9999,0.6344,0.01,3,8,144,True,True,True,1590114030143777350,0,12500,cifar10,0.0501,0.3617,0.282,0.001989,0.07494,0.05688,0.07155,1.447,0.0229,8.966,10.09,2.512,0.6279,0.082,0.01823,48.31,46.81,13.79,12.29,-0.5675,-0.6427,-2.293,-2.369,12500,40.92,15.74
145,50.63,2219,1692,0.04033,102.2,47.11,205.8,202.6,72.86,69.65,9.053,8.969,5.555,5.47,58.4,3.242e+04,4.095,6.162e+06,8.871e+06,1.526e+05,1.045e+04,7014380,6.475,0.2611,0.008337,42,56,8862306381679044440,0.3587,0.9995,0.6408,0.01,6,14,145,True,True,True,1590114222323716708,0,12500,cifar10,0.06365,0.4214,0.3679,0.001796,0.09044,0.06139,0.06835,1.611,0.0181,22.2,26.64,3.494,0.9144,0.02276,0.004571,98.19,96.58,31.71,30.11,-0.19,-0.2322,-1.939,-1.982,12500,77.08,33.82
146,37.69,1906,1839,0.03431,91.47,43.65,173,169.6,58.24,54.86,8.872,8.766,5.286,5.18,55.06,2.625e+04,5.178,2.83e+06,3.898e+06,1.152e+05,8367,2895530,24.93,0.8553,0.009311,42,43,-7816096414355022837,0.37,0.9989,0.6289,0.003162,5,10,146,True,True,True,1590114927793263580,1,12500,cifar10,0.05491,0.3905,0.3835,0.001657,0.08554,0.0591,0.06637,1.449,0.02035,15.05,17.66,3.036,0.8182,0.04466,0.008272,81.78,80.09,24.4,22.72,-0.2809,-0.3335,-2.074,-2.127,12500,62.38,26.47
148,33.39,2122,1834,0.0402,99.89,46.07,148.4,145.2,50.3,47.09,8.966,8.842,5.193,5.069,64,3.397e+04,4.031,5.008e+06,7.18e+06,1.597e+05,9977,5629230,13.45,0.5405,0.008462,42,20,-5507333751871766013,0.3427,0.9993,0.6566,0.01,4,16,148,True,True,True,1590114213212434672,0,12500,cifar10,0.05168,0.412,0.3831,0.001793,0.08939,0.06071,0.07155,1.649,0.01796,20.02,23.97,3.574,0.8934,0.0328,0.006576,69.48,67.87,20.43,18.83,-0.234,-0.2958,-2.12,-2.182,12500,54.6,22.58
149,35.56,3481,1322,0.03823,85.4,59,82.22,78.95,28.87,25.61,8.512,8.278,4.701,4.468,72.82,6.339e+04,10.91,9.572e+05,1.109e+06,1.328e+05,7294,826280,1057,40.41,0.00938,42,63,426248914965896853,0.3607,1,0.6393,0.001585,2,10,149,True,True,True,1590115472127216087,3,12500,cifar10,0.05334,0.5277,0.3252,0.001749,0.08266,0.0687,0.07632,2.252,0.02954,8.751,9.421,3.259,0.7639,0.2908,0.05686,36.39,34.76,9.718,8.086,-0.4609,-0.5775,-2.366,-2.483,12500,32.79,11.68
151,35.42,2740,2806,0.02901,108.2,52.35,183.6,180,59.86,56.32,9.202,9.091,5.336,5.226,66.05,4.526e+04,9.178,4.423e+06,5.93e+06,1.932e+05,1.17e+04,4164630,111.8,3.243,0.009829,42,70,3409056197794613212,0.4035,0.9986,0.5951,0.001,5,12,151,True,True,True,1590115822234872368,1,12500,cifar10,0.05323,0.4682,0.4738,0.001524,0.09302,0.06471,0.07269,1.903,0.0271,18.81,21.78,3.931,0.9674,0.09456,0.01611,87.06,85.29,25.21,23.44,-0.1158,-0.1711,-2.049,-2.104,12500,64.26,27.41
153,31.42,3189,2886,0.04196,113.6,56.47,155,151.8,50.5,47.33,9.22,9.098,5.2,5.078,68.2,5.44e+04,3.969,5.393e+06,7.356e+06,2.202e+05,1.291e+04,5629230,79.96,3.355,0.0099,42,19,-3898319721660655299,0.3663,0.9998,0.6335,0.003162,4,16,153,True,True,True,1590114952897930644,1,12500,cifar10,0.05014,0.5051,0.4805,0.001832,0.09535,0.06722,0.07386,2.086,0.01782,20.77,24.26,4.197,1.016,0.07998,0.01638,72.79,71.2,20.53,18.95,-0.1067,-0.1677,-2.117,-2.178,12500,55.3,22.93
157,42.33,2759,2813,0.03333,107.8,52.53,212.4,209,69.82,66.42,9.227,9.137,5.475,5.385,66.05,4.559e+04,4.551,3.221e+06,4.506e+06,1.918e+05,1.162e+04,3585280,98.33,3.277,0.009642,42,104,-4508936653500366188,0.3993,0.9996,0.6003,0.001,6,10,157,True,True,True,1590167165147556477,1,12500,cifar10,0.05819,0.4699,0.4744,0.001633,0.09286,0.06483,0.07269,1.91,0.01908,16.05,18.99,3.917,0.964,0.08869,0.01619,101.5,99.78,30.19,28.49,-0.1034,-0.1482,-1.979,-2.024,12500,74.36,32.46
158,41.42,2279,2043,0.03555,107.4,47.74,181.1,177.8,62.14,58.8,9.126,9.022,5.408,5.303,58.4,3.329e+04,5.833,6.942e+06,9.931e+06,1.685e+05,1.154e+04,7392830,14.6,0.5191,0.009248,42,37,6902157606496405152,0.3515,0.9984,0.6469,0.00631,5,16,158,True,True,True,1590115252714264653,2,12500,cifar10,0.05756,0.427,0.4043,0.001686,0.0927,0.0618,0.06835,1.632,0.0216,23.57,28.19,3.671,0.9608,0.03418,0.006444,85.85,84.19,26.35,24.69,-0.1535,-0.2057,-2.013,-2.065,12500,66.43,28.5
160,48.04,1963,1438,0.04256,88.5,44.31,196.5,193.3,69.28,66.13,8.808,8.725,5.461,5.378,55.06,2.705e+04,4.297,3.3e+06,4.536e+06,1.078e+05,7833,3585280,7.872,0.335,0.009296,42,61,-8999065712151771232,0.3733,0.999,0.6257,0.01,6,10,160,True,True,True,1590114033472966195,0,12500,cifar10,0.06199,0.3963,0.3392,0.001845,0.08415,0.05954,0.06637,1.471,0.01854,16.25,19.05,2.937,0.7916,0.02509,0.005177,93.52,91.94,29.93,28.35,-0.3127,-0.3543,-1.986,-2.028,12500,73.4,31.98
161,32.89,2520,2260,0.04065,105.9,50.2,151.4,148.2,50.42,47.22,9.083,8.96,5.197,5.074,64,4.035e+04,3.79,5.195e+06,7.289e+06,1.793e+05,1.121e+04,5629230,22.68,0.922,0.009798,42,18,-8735883835984416639,0.3507,0.999,0.6483,0.00631,4,16,161,True,True,True,1590114796118124082,2,12500,cifar10,0.05129,0.449,0.4253,0.001803,0.09203,0.06337,0.07155,1.797,0.01741,20.39,24.15,3.788,0.9468,0.0426,0.008589,71,69.4,20.49,18.89,-0.1754,-0.2369,-2.118,-2.18,12500,54.94,22.75
163,27.92,2209,1549,0.0377,81.09,47,110.8,107.5,37.35,34.07,8.536,8.373,4.863,4.699,72.82,4.024e+04,8.002,9.897e+05,1.254e+06,1.197e+05,6575,972830,671.2,25.31,0.009403,42,36,3577345688727135263,0.4421,1,0.5579,0.001,3,8,163,True,True,True,1590115595568561921,3,12500,cifar10,0.04726,0.4204,0.352,0.001737,0.08054,0.06132,0.07632,1.794,0.0253,8.898,10.02,3.095,0.7253,0.2317,0.045,50.69,49.05,13.96,12.32,-0.4485,-0.5305,-2.285,-2.367,12500,41.42,15.99
165,36.23,3658,3685,0.0293,125.8,60.48,192.3,188.7,62.23,58.7,9.474,9.363,5.41,5.3,72.82,6.661e+04,7.111,7.518e+06,1.022e+07,2.881e+05,1.582e+04,7392830,109.4,3.205,0.009951,42,56,4980573621573653097,0.3953,0.9989,0.6036,0.001,5,16,165,True,True,True,1590167522861396552,3,12500,cifar10,0.05383,0.5409,0.543,0.001531,0.1003,0.06956,0.07632,2.308,0.02385,24.52,28.59,4.801,1.125,0.09356,0.01601,91.41,89.64,26.4,24.63,0.02004,-0.03512,-2.012,-2.067,12500,66.91,28.74
167,31.41,2076,1335,0.04789,84.26,45.56,112.4,109.3,38.78,35.74,8.614,8.462,4.935,4.783,66.05,3.43e+04,5.224,2.185e+06,2.853e+06,1.172e+05,7099,2179230,54.1,2.591,0.009462,42,16,4237752798273886085,0.3534,0.9998,0.6464,0.01,3,12,167,True,True,True,1590114398826431843,3,12500,cifar10,0.05012,0.4075,0.3268,0.001957,0.0821,0.06037,0.07269,1.656,0.02044,13.22,15.11,3.063,0.7536,0.06579,0.0144,51.46,49.95,14.67,13.15,-0.4098,-0.4858,-2.249,-2.325,12500,42.94,16.75
169,35.3,3787,1467,0.0438,95.86,61.54,85.42,82.29,30.11,26.98,8.74,8.517,4.789,4.566,75.31,7.131e+04,9.867,2.505e+06,2.97e+06,1.73e+05,9190,2102030,306.4,13.42,0.00998,42,25,-1527731969814682931,0.3325,1,0.6675,0.00631,2,16,169,True,True,True,1590114607403451779,1,12500,cifar10,0.05314,0.5504,0.3426,0.001872,0.08757,0.07016,0.07762,2.388,0.02809,14.16,15.41,3.721,0.8574,0.1566,0.03277,37.99,36.43,10.34,8.772,-0.3466,-0.4583,-2.322,-2.434,12500,34.27,12.42
170,31.54,1628,988.2,0.04774,70.15,40.35,106.1,103,37.11,34.07,8.3,8.148,4.851,4.699,62.05,2.527e+04,6.238,9.932e+05,1.261e+06,7.635e+04,4921,972830,86.09,4.11,0.009578,42,19,-2959591463707652910,0.3714,0.9998,0.6284,0.01,3,8,170,True,True,True,1590114449587675323,4,12500,cifar10,0.05023,0.3609,0.2812,0.001954,0.07491,0.05681,0.07045,1.422,0.02234,8.914,10.04,2.471,0.6274,0.08299,0.01813,48.33,46.81,13.84,12.32,-0.5667,-0.6428,-2.291,-2.367,12500,40.96,15.76
172,37.68,2834,802.8,0.04677,72.67,53.24,77.57,74.51,28.33,25.27,8.18,7.961,4.663,4.444,62.05,4.399e+04,10.24,6.414e+05,7.236e+05,8.193e+04,5281,531030,415.9,19.45,0.009521,42,31,-5783648748449743143,0.3404,1,0.6596,0.01,2,8,172,True,True,True,1590114387611033244,3,12500,cifar10,0.0549,0.4762,0.2534,0.001934,0.07625,0.06526,0.07045,1.876,0.02862,7.163,7.609,2.56,0.65,0.1824,0.03944,34.07,32.54,9.449,7.917,-0.6267,-0.7361,-2.385,-2.495,12500,31.96,11.26
174,40.69,2057,1855,0.03679,100.6,45.36,177.8,174.5,61.03,57.73,9.021,8.917,5.373,5.27,58.4,3.006e+04,6.059,5.346e+06,7.593e+06,1.477e+05,1.011e+04,5663730,15.23,0.5603,0.009448,42,42,-3470121482614085118,0.3478,0.9984,0.6506,0.00631,5,14,174,True,True,True,1590115486304892436,3,12500,cifar10,0.05705,0.4057,0.3853,0.001715,0.08969,0.06024,0.06835,1.551,0.02202,20.68,24.65,3.437,0.8994,0.03491,0.006695,84.16,82.51,25.8,24.15,-0.2064,-0.258,-2.03,-2.082,12500,65.26,27.91
176,32.38,2033,1771,0.04058,91.9,45.09,145.1,141.9,48.61,45.41,8.837,8.714,5.128,5.005,56.69,2.884e+04,4.297,2.958e+06,4.084e+06,1.197e+05,8446,3171930,28.3,1.148,0.008062,42,21,8799905969568142923,0.3525,0.9998,0.6473,0.00631,4,12,176,True,True,True,1590115087615711160,4,12500,cifar10,0.0509,0.4033,0.3764,0.001802,0.08575,0.06006,0.06735,1.519,0.01854,15.38,18.08,3.095,0.822,0.04758,0.009585,67.81,66.21,19.59,17.99,-0.2982,-0.3598,-2.153,-2.214,12500,52.89,21.73
178,28.61,2592,1813,0.03836,89.01,50.91,114.3,111,38.3,35.04,8.71,8.547,4.911,4.748,70.45,4.567e+04,7.111,1.545e+06,1.967e+06,1.396e+05,7923,1516030,514.2,19.73,0.009844,42,25,981211836129003067,0.4125,1,0.5875,0.001585,3,10,178,True,True,True,1590114931439245674,0,12500,cifar10,0.04784,0.4553,0.3808,0.001752,0.08438,0.06382,0.07507,1.911,0.02385,11.12,12.54,3.341,0.7961,0.2028,0.03972,52.43,50.8,14.44,12.8,-0.3615,-0.443,-2.261,-2.343,12500,42.55,16.56
181,35.34,3555,3691,0.02666,125.1,59.63,192.1,188.5,62.1,58.48,9.47,9.357,5.406,5.293,68.2,6.064e+04,7.339,7.5e+06,1.023e+07,2.67e+05,1.566e+04,7392830,104.7,2.79,0.009498,42,60,4980573621573653097,0.3945,0.9984,0.6039,0.001,5,16,181,True,True,True,1590167173225078765,2,12500,cifar10,0.05317,0.5333,0.5434,0.00146,0.1001,0.06907,0.07386,2.202,0.02423,24.5,28.61,4.622,1.119,0.09151,0.01494,91.36,89.55,26.33,24.52,0.01847,-0.03817,-2.014,-2.07,12500,66.69,28.63
184,31.5,3137,2848,0.04195,113.2,56.01,154.9,151.7,50.61,47.44,9.215,9.093,5.205,5.083,68.2,5.35e+04,4.297,5.462e+06,7.438e+06,2.185e+05,1.282e+04,5629230,75.99,3.188,0.00979,42,19,-3898319721660655299,0.3693,0.9998,0.6305,0.003162,4,16,184,True,True,True,1590115173573325175,2,12500,cifar10,0.0502,0.5009,0.4773,0.001832,0.09517,0.06694,0.07386,2.069,0.01854,20.9,24.39,4.181,1.013,0.07797,0.01597,72.73,71.14,20.59,19,-0.1091,-0.1701,-2.114,-2.175,12500,55.39,22.98
185,35.18,3550,1375,0.04092,88.92,59.58,83.52,80.32,29.35,26.16,8.604,8.376,4.736,4.507,86.66,7.693e+04,9.989,1.378e+06,1.615e+06,1.713e+05,7907,1186530,687,28.12,0.009789,42,37,-1575375827339164790,0.3521,1,0.6479,0.003162,2,12,185,True,True,True,1590114807000591672,1,12500,cifar10,0.05305,0.5329,0.3317,0.001809,0.08434,0.06904,0.08326,2.481,0.02827,10.5,11.37,3.702,0.7953,0.2344,0.04743,37.04,35.44,9.959,8.361,-0.4145,-0.5287,-2.349,-2.463,12500,33.38,11.97
187,31.74,2562,1670,0.04723,96.61,50.62,116.9,113.8,40,36.95,8.84,8.688,4.996,4.843,75.31,4.826e+04,5.224,3.911e+06,5.157e+06,1.757e+05,9333,3865630,40.77,1.926,0.009475,42,15,6070358833646617446,0.3442,1,0.6558,0.01,3,16,187,True,True,True,1590114644452258838,3,12500,cifar10,0.05039,0.4527,0.3655,0.001944,0.08791,0.06363,0.07762,1.965,0.02044,17.69,20.31,3.75,0.8641,0.05711,0.01241,53.73,52.2,15.29,13.76,-0.2965,-0.3729,-2.219,-2.295,12500,44.37,17.47
192,42.23,3460,3814,0.03297,130.1,58.82,225.4,222,73.57,70.16,9.57,9.48,5.574,5.484,68.2,5.901e+04,4.095,7.936e+06,1.156e+07,2.886e+05,1.693e+04,9156430,27.15,0.8952,0.008848,42,79,-8481762122677257250,0.39,0.9998,0.6098,0.001585,6,16,192,True,True,True,1590167171478100298,0,12500,cifar10,0.05813,0.5261,0.5524,0.001624,0.102,0.0686,0.07386,2.173,0.0181,25.2,30.41,4.805,1.164,0.04661,0.008462,108,106.3,32.07,30.36,0.06825,0.02335,-1.93,-1.975,12500,78.41,34.49
196,29.96,3221,2798,0.03882,107,56.76,152,148.7,49.4,46.15,9.103,8.978,5.158,5.033,77.93,6.278e+04,5.367,3.097e+06,4.099e+06,2.23e+05,1.144e+04,3171930,485.9,18.86,0.009767,42,26,1341775228232666432,0.425,1,0.575,0.001,4,12,196,True,True,True,1590115687095427805,2,12500,cifar10,0.04896,0.5076,0.4731,0.001762,0.09251,0.06738,0.07896,2.241,0.02072,15.74,18.11,4.223,0.9568,0.1972,0.03885,71.27,69.65,19.98,18.36,-0.1651,-0.2276,-2.138,-2.2,12500,54.08,22.33
198,30.76,2453,2227,0.04271,98.44,49.53,148.4,145.2,48.74,45.58,8.964,8.843,5.133,5.011,62.05,3.808e+04,4.403,3.054e+06,4.14e+06,1.503e+05,9691,3171930,91.7,3.916,0.009813,42,20,-6747634100443282140,0.365,0.9998,0.6348,0.003162,4,12,198,True,True,True,1590115185821746249,4,12500,cifar10,0.0496,0.443,0.4221,0.001848,0.08874,0.06295,0.07045,1.745,0.01877,15.63,18.2,3.468,0.8805,0.08565,0.0177,69.46,67.88,19.65,18.08,-0.2347,-0.2953,-2.15,-2.211,12500,53.29,21.93
199,43.23,2008,2055,0.03953,97.1,44.82,204.5,201.3,68.94,65.71,9.02,8.935,5.452,5.367,56.69,2.849e+04,3.848,3.195e+06,4.577e+06,1.337e+05,9429,3585280,14.32,0.5661,0.009871,42,68,1817495499038860681,0.3772,0.9996,0.6224,0.003162,6,10,199,True,True,True,1590115014730529836,1,12500,cifar10,0.05881,0.4008,0.4054,0.001778,0.08814,0.05988,0.06735,1.51,0.01755,15.99,19.13,3.27,0.8685,0.03385,0.00673,97.55,95.94,29.75,28.14,-0.2066,-0.2491,-1.991,-2.033,12500,73.34,31.95
201,33.43,1748,1478,0.04465,87.12,41.81,142.2,139.1,48.53,45.42,8.728,8.608,5.125,5.005,56.69,2.479e+04,4.128,2.842e+06,4.003e+06,1.076e+05,7589,3171930,16.69,0.7451,0.009623,42,20,1534727104028171244,0.3398,0.9996,0.6598,0.01,4,12,201,True,True,True,1590114391354979160,2,12500,cifar10,0.05171,0.3739,0.3438,0.00189,0.08348,0.05783,0.06735,1.408,0.01817,15.08,17.9,2.934,0.7792,0.03654,0.00772,66.39,64.83,19.55,17.99,-0.3528,-0.4126,-2.154,-2.214,12500,52.72,21.64
204,30.56,4332,3680,0.03741,124.1,65.81,158.8,155.5,51.21,47.92,9.365,9.238,5.228,5.101,83.59,9.054e+04,5.043,5.428e+06,7.208e+06,3.218e+05,1.54e+04,5629230,456.2,17.07,0.009823,42,23,5812349128615729751,0.4214,1,0.5786,0.001,4,16,204,True,True,True,1590115471399696895,0,12500,cifar10,0.04945,0.5887,0.5426,0.00173,0.09963,0.07256,0.08178,2.691,0.02009,20.84,24.01,5.073,1.11,0.191,0.03695,74.67,73.03,20.89,19.24,-0.03436,-0.09755,-2.103,-2.166,12500,56.13,23.35
205,35.16,3822,1535,0.03701,91.7,61.82,84.28,80.98,29.41,26.12,8.659,8.423,4.74,4.505,75.31,7.198e+04,11.5,1.374e+06,1.607e+06,1.583e+05,8409,1186530,1025,37.92,0.00924,42,56,-10688740159849512,0.3628,1,0.6372,0.001585,2,12,205,True,True,True,1590114932607843773,0,12500,cifar10,0.05304,0.553,0.3504,0.001721,0.08565,0.07033,0.07762,2.4,0.03033,10.48,11.34,3.559,0.8202,0.2863,0.05508,37.42,35.77,9.99,8.341,-0.3873,-0.505,-2.347,-2.464,12500,33.45,12.01
206,36.87,3616,1314,0.04192,91.26,60.13,84.08,80.91,29.84,26.67,8.645,8.418,4.771,4.544,75.31,6.809e+04,10.24,1.944e+06,2.279e+06,1.568e+05,8328,1611780,356.9,14.96,0.009308,42,27,3429072442328821228,0.3276,1,0.6724,0.00631,2,14,206,True,True,True,1590114406986281448,0,12500,cifar10,0.05431,0.5378,0.3243,0.001831,0.08544,0.06936,0.07762,2.334,0.02862,12.47,13.5,3.542,0.8162,0.169,0.0346,37.32,35.74,10.21,8.619,-0.3944,-0.5077,-2.331,-2.445,12500,33.85,12.21
207,46.71,2153,2054,0.03961,106.3,46.4,209.7,206.5,72.21,68.99,9.157,9.072,5.538,5.453,60.18,3.241e+04,4,6.111e+06,9.011e+06,1.701e+05,1.131e+04,7014380,7.79,0.3086,0.00865,42,55,-127866482121014666,0.3614,0.9999,0.6385,0.00631,6,14,207,True,True,True,1590114406985267304,0,12500,cifar10,0.06113,0.415,0.4054,0.00178,0.09223,0.06093,0.06939,1.61,0.01789,22.11,26.85,3.689,0.9511,0.02496,0.004968,100.1,98.53,31.39,29.78,-0.1383,-0.1808,-1.948,-1.99,12500,76.61,33.59
208,36.2,3282,1134,0.04581,87.48,57.29,82.97,79.89,29.81,26.73,8.566,8.346,4.768,4.548,72.82,5.977e+04,11.81,1.991e+06,2.331e+06,1.393e+05,7652,1611780,212,9.71,0.009301,42,25,871334127900106982,0.3277,1,0.6723,0.01,2,14,208,True,True,True,1590114875400752623,4,12500,cifar10,0.05382,0.5124,0.3012,0.001914,0.08366,0.0677,0.07632,2.187,0.03073,12.62,13.66,3.339,0.7824,0.1302,0.02787,36.77,35.23,10.19,8.646,-0.4338,-0.544,-2.333,-2.443,12500,33.76,12.16
