	index	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	seed	train_dataset_size	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
22	22	44.08433532714844	4040.387939453125	1080.51318359375	0.04279039800167084	83.5044174194336	63.56404113769531	80.28044891357422	77.1290054321289	28.86844825744629	25.71700668334961	19.734317779541016	19.509214401245117	16.06203269958496	15.836929321289062	80.68451690673828	81521.4921875	16.7772159576416	689094.0625	761203.25	140675.359375	6972.98876953125	531030	1799.2120361328125	76.98899841308594	0.00976595474243164	42	92	-8523305536344828929	0.3234	1.0	0.6766	0.001	2	8	1	25000	1590098334281682294	True	True	True
23	23	41.78338623046875	3896.1064453125	1090.1702880859375	0.04355364292860031	82.66505432128906	62.41879653930664	80.22331237792969	77.08955383300781	28.71332359313965	25.579561233520508	19.730236053466797	19.506397247314453	16.05095100402832	15.82711124420166	72.81777954101562	70948.7265625	19.149974822998047	698664.625	772908.625	124422.5546875	6833.51123046875	531030	1724.789794921875	75.12088012695312	0.009878831787109375	42	89	-8523305536344828929	0.32120000000000004	1.0	0.6788	0.001	2	8	0	25000	1590098337622456977	True	True	True
24	24	42.612205505371094	4045.306640625	1089.485107421875	0.04256785660982132	83.60089111328125	63.60272979736328	80.3402328491211	77.18357849121094	28.834745407104492	25.678089141845703	19.738588333129883	19.513113021850586	16.05962371826172	15.834149360656738	77.92627716064453	78831.234375	20.897958755493164	712054.625	784308.0	136181.109375	6989.109375	531030	1891.837646484375	80.53147888183594	0.00983069305419922	42	88	-8523305536344828929	0.31679999999999997	1.0	0.6832	0.001	2	8	2	25000	1590098350757736735	True	True	True
25	25	40.827720642089844	3954.8232421875	1100.99755859375	0.043136849999427795	83.07846069335938	62.887386322021484	80.25946044921875	77.11608123779297	28.661893844604492	25.518516540527344	19.732818603515625	19.508291244506836	16.047277450561523	15.82275104522705	80.68451690673828	79795.5703125	20.897958755493164	710142.5	783728.375	139244.078125	6902.03125	531030	1775.877197265625	76.60575103759766	0.009932687225341796	42	88	-8523305536344828929	0.32530000000000003	1.0	0.6747	0.001	2	8	3	25000	1590098359880668880	True	True	True
28	28	39.04863739013672	4321.279296875	1501.967529296875	0.03956054151058197	94.02281951904297	65.73644256591797	84.6283950805664	81.39846801757812	29.807579040527344	26.577655792236328	20.044885635375977	19.814176559448242	16.129112243652344	15.898404121398926	100.78585052490234	108903.390625	16.0	1474386.25	1686019.5	222766.5	8840.2890625	1186530	1366.8883056640625	54.0748405456543	0.009487993621826172	42	65	-502694889760783273	0.31210000000000004	1.0	0.6879	0.001	2	12	2	25000	1590098446881441526	True	True	True
29	29	40.18892288208008	4074.962646484375	1311.060302734375	0.04129805043339729	88.50321197509766	63.83543014526367	82.67599487304688	79.48905181884766	29.310047149658203	26.12310791015625	19.905427932739258	19.67778968811035	16.09357452392578	15.865936279296875	83.59183502197266	85180.7265625	17.048908233642578	1049335.5	1183808.75	163712.265625	7832.81884765625	826280	1491.78173828125	61.6076774597168	0.009770987243652343	42	74	-3728529269831051920	0.31589999999999996	1.0	0.6841	0.001	2	10	4	25000	1590098448539102232	True	True	True
30	30	39.67610168457031	4055.97607421875	1303.9052734375	0.0415792316198349	88.2547378540039	63.68654251098633	82.63121032714844	79.45105743408203	29.280656814575195	26.100502014160156	19.90222930908203	19.67507553100586	16.091476440429688	15.8643217086792	83.59183502197266	84783.9453125	15.044995307922363	1028523.3125	1162800.375	162794.4375	7788.900390625	826280	1537.84521484375	63.942420959472656	0.009950945892333984	42	74	-3728529269831051920	0.32089999999999996	1.0	0.6791	0.001	2	10	2	25000	1590098448539202466	True	True	True
31	31	39.403533935546875	4378.7001953125	1520.400146484375	0.040341511368751526	94.4964599609375	66.17174530029297	84.71084594726562	81.50047302246094	29.820524215698242	26.610149383544922	20.0507755279541	19.821462631225586	16.130037307739258	15.900725364685059	83.59183502197266	91528.21875	13.966859817504883	1441063.0	1651765.5	186632.359375	8929.58203125	1186530	1392.465576171875	56.174163818359375	0.009262496185302735	42	64	-502694889760783273	0.32089999999999996	1.0	0.6791	0.001	2	12	0	25000	1590098448550030254	True	True	True
32	32	40.6705322265625	4105.03369140625	1309.706298828125	0.04173560440540314	88.65789794921875	64.0705337524414	82.68804931640625	79.51165008544922	29.326616287231445	26.15021514892578	19.90629005432129	19.67940330505371	16.094758987426758	15.86787223815918	86.65917205810547	88957.0546875	16.252960205078125	1044897.625	1178576.75	170312.453125	7860.220703125	826280	1514.8231201171875	63.2220573425293	0.009820686645507812	42	74	-3728529269831051920	0.31510000000000005	1.0	0.6849	0.001	2	10	3	25000	1590098448535840085	True	True	True
33	33	38.851219177246094	4341.240234375	1527.519287109375	0.04090334102511406	94.36640930175781	65.8880844116211	84.71687316894531	81.52033233642578	29.809188842773438	26.61264419555664	20.051204681396484	19.8228816986084	16.129228591918945	15.900903701782227	83.59183502197266	90745.3828125	12.641975402832031	1409763.375	1622192.0	186119.078125	8905.01953125	1186530	1264.206298828125	51.71025848388672	0.009667969360351563	42	67	-502694889760783273	0.31820000000000004	1.0	0.6818	0.001	2	12	1	25000	1590098448663224765	True	True	True
