	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	index	is.converged	is.high_train_accuracy	is.last_epoch	repeat_id	seed	train_dataset_size
438	33.8926	2429.91	1403.51	0.0462791	86.808	49.2942	113.552	110.479	39.2506	36.1775	8.67333	8.51968	4.95826	4.80461	75.3071	45769.7	7.18577	2.32758e+06	2.94236e+06	141894	7535.63	2179230	91.2179	4.22149	0.0082138	42	18	1257333192779384082	0.29032	0.99992	0.7096	0.00630957	3	12	438	True	True	True	1590103029826915476	2	25000
439	34.3822	2399.01	1393.87	0.049814	86.7104	48.9797	113.519	110.519	39.3552	36.3558	8.67166	8.52169	4.96349	4.81352	68.1956	40922.7	6.05917	2.25452e+06	2.87503e+06	128208	7518.69	2179230	87.903	4.3788	0.00976801	42	17	1257333192779384082	0.27896	0.99996	0.721	0.00630957	3	12	439	True	True	True	1590103032566270751	3	25000
440	34.4291	2697.35	1572.56	0.0480136	93.2758	51.936	116.068	113.032	40.0547	37.0184	8.79913	8.64732	4.99847	4.84665	72.8178	49126	6.05917	3.09228e+06	3.95727e+06	158408	8700.37	2962430	79.8433	3.83356	0.00987706	42	16	5856384758569757222	0.2824	0.9998	0.7174	0.00630957	3	14	440	True	True	True	1590103041210193549	2	25000
441	33.865	2672.61	1569.7	0.0474752	93.1393	51.6973	115.959	112.912	39.9637	36.9162	8.79371	8.64133	4.99392	4.84154	75.3071	50338.9	6.05917	3.08271e+06	3.95234e+06	163343	8674.93	2962430	74.9384	3.55771	0.00919655	42	16	5856384758569757222	0.27726	0.99996	0.7227	0.00630957	3	14	441	True	True	True	1590103041458957192	1	25000
442	33.9497	2678.18	1563.49	0.0498831	93.1936	51.7512	115.935	112.937	39.9661	36.968	8.79248	8.64258	4.99403	4.84413	75.3071	50443.8	5.77804	3.06509e+06	3.93405e+06	163534	8685.04	2962430	74.5792	3.72024	0.00987576	42	15	5856384758569757222	0.28342	0.99992	0.7165	0.00630957	3	14	442	True	True	True	1590103041775179760	0	25000
443	34.6689	2785.42	1593.09	0.0454609	94.0334	52.7771	116.24	113.149	40.0602	36.9693	8.80773	8.65318	4.99874	4.8442	80.6845	56207.4	6.23781	3.11519e+06	3.96841e+06	178381	8842.28	2962430	83.6332	3.80204	0.0083403	42	16	5856384758569757222	0.28794	0.99984	0.7119	0.00630957	3	14	443	True	True	True	1590103052335913908	3	25000
444	33.9195	2976.39	1766.54	0.0453968	99.454	54.5563	118.262	115.169	40.5589	37.4665	8.90882	8.7542	5.02367	4.86906	75.3071	56058.1	5.56699	3.98925e+06	5.14692e+06	186240	9891.09	3865630	71.8404	3.26132	0.00824127	42	16	-6535601704774738064	0.2787	0.9998	0.7211	0.00630957	3	16	444	True	True	True	1590103063236046215	0	25000
445	33.7433	2724.08	1595.36	0.0481166	93.6296	52.1927	116.083	113.049	39.9098	36.8756	8.7999	8.64819	4.99122	4.83951	68.1956	46464.8	6.29912	3.11444e+06	3.97774e+06	149481	8766.5	2962430	79.0513	3.80368	0.00949967	42	15	5856384758569757222	0.28108	0.99988	0.7188	0.00630957	3	14	445	True	True	True	1590103063714598991	4	25000
446	33.8268	2980.17	1771.83	0.0447526	99.4453	54.5909	118.278	115.171	40.5047	37.3981	8.90961	8.75428	5.02097	4.86564	72.8178	54274.5	6.05917	4.04655e+06	5.20282e+06	180053	9889.36	3865630	72.8825	3.26168	0.00839066	42	15	-6535601704774738064	0.27344	0.99984	0.7264	0.00630957	3	16	446	True	True	True	1590103103923483224	1	25000
447	34.5779	2992.5	1753.84	0.0425583	99.4801	54.7038	118.184	115.027	40.5659	37.409	8.90494	8.74709	5.02403	4.86618	72.8178	54499.1	5.61866	3.99738e+06	5.15035e+06	180179	9896.3	3865630	69.1618	2.94341	0.00757626	42	16	-6535601704774738064	0.27216	0.99996	0.7278	0.00630957	3	16	447	True	True	True	1590103107836362055	2	25000
