	index	hp.lr	hp.model_width	hp.model_depth	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_sum_of_fro	complexity.param_norm	complexity.path_norm	complexity.params	complexity.log_prod_of_spec	complexity.log_sum_of_spec	complexity.fro_dist	complexity.fro_over_spec	complexity.dist_spec_init	complexity.pacbayes_orig	complexity.pacbayes_init	complexity.pacbayes_flatness	complexity.pacbayes_mag_orig	complexity.pacbayes_mag_init	complexity.pacbayes_mag_flatness	complexity.inverse_margin	complexity.log_prod_of_fro_over_margin	complexity.log_sum_of_fro_over_margin	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_spec_over_margin	complexity.path_norm_over_margin	experiment_id	cross_entropy	data_seed	seed	train_dataset_size	epoch	gen.gap	gen.val_acc	gen.train_acc	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
0	0	0.01	8	3	70.93151092529297	38.873199462890625	106.31950378417969	25.315975189208984	5031.279296875	84.64512634277344	972830	36.37638473510742	21.818819046020508	1511.12548828125	1095.111572265625	28.048133850097656	69277.1875	20821.654296875	55.06070327758789	1286440.375	995088.0	6.117855548858643	0.04257051274180412	103.16291046142578	25.158145904541016	33.219791412353516	21.66098976135254	3.603386402130127	-2959591463707652910	0.00828169219970703	42	4	6250	19	0.4333	0.5667	1.0	1590113276198804107	True	True	True
2	2	0.01	16	2	92.6272201538086	57.12619400024414	84.56208801269531	20.040149688720703	8579.8017578125	196.05043029785156	2102030	29.74221420288086	16.12444305419922	3263.40234375	1388.181396484375	32.604698181152344	167168.921875	63597.11328125	77.92627716064453	2901120.5	2394492.75	7.416930675506592	0.041905973106622696	81.38976287841797	19.813554763793945	26.569887161254883	15.897849082946777	8.215683937072754	-2546047217668018735	0.00977058349609375	42	3	6250	25	0.3718	0.6282	1.0	1590113528386056542	True	True	True
4	4	0.003162	16	5	113.90894317626953	49.462646484375	185.8597869873047	37.8081169128418	12975.2490234375	20.532434463500977	7392830	61.416255950927734	33.91925811767578	2446.55322265625	2755.687255859375	36.281944274902344	195233.3125	36829.17578125	60.17998123168945	10345650.0	7271137.0	7.037611961364746	0.03215305507183075	182.42254638671875	37.700706481933594	57.979007720947266	33.81184387207031	0.6601805090904236	-5508358605167037948	0.009818393402099609	42	0	6250	63	0.45752000000000004	0.5412	0.99872	1590113489209509612	True	True	True
7	7	0.001	16	2	105.55937194824219	68.63602447509766	87.97737121582031	20.28409767150879	11142.7822265625	1006.4509887695312	2102030	30.182697296142578	16.155906677246094	4710.9033203125	2174.33203125	33.32487487792969	241427.015625	102081.7265625	86.65917205810547	2650802.25	2199544.75	8.462809562683105	0.03282012417912483	84.56066131591797	20.04004669189453	26.76598358154297	15.911855697631836	33.03184509277344	3878930905162672824	0.009992210235595702	42	4	6250	91	0.42390000000000005	0.5761	1.0	1590115277185170393	True	True	True
10	10	0.003162	16	2	100.64203643798828	63.70537185668945	86.88336944580078	20.205955505371094	10128.8203125	602.2911376953125	2102030	29.866764068603516	16.13334083557129	4058.3740234375	1926.853271484375	31.793058395385742	204330.65625	81882.9375	80.68451690673828	2728409.75	2249025.5	7.659430027008057	0.033844929188489914	83.49740600585938	19.964099884033203	26.480798721313477	15.891485214233398	20.384502410888672	-5731590468595689123	0.00875016082763672	42	1	6250	39	0.4074	0.5926	1.0	1590113632883816676	True	True	True
11	11	0.003162	14	6	113.65859985351562	48.502681732177734	215.73890686035156	43.677337646484375	12918.279296875	13.821332931518555	7014380	71.95929718017578	39.8936653137207	2352.51025390625	2722.024658203125	42.61945343017578	194376.203125	35414.29296875	60.17998123168945	8975237.0	5997320.5	3.7329156398773193	0.03307785466313362	212.33001708984375	43.58763122558594	68.55040740966797	39.803958892822266	0.45718005299568176	-1831960413689477244	0.009033758392333984	42	2	6250	111	0.44636	0.553	0.99936	1590114370114903741	True	True	True
13	13	0.01	12	2	81.79147338867188	52.45686721801758	81.48599243164062	19.8204288482666	6689.84521484375	239.21498107910156	1186530	28.948162078857422	16.067726135253906	2751.72265625	1103.41357421875	32.75651168823242	114075.40625	46934.72265625	68.19563293457031	1615593.375	1352946.125	7.4964680671691895	0.04368831589818001	78.35531616210938	19.59680938720703	25.817487716674805	15.844106674194336	10.450899124145508	-2775294095317312987	0.009890678100585937	42	2	6250	30	0.3901	0.6099	1.0	1590113147000351227	True	True	True
14	14	0.001585	10	5	96.70179748535156	45.86568832397461	176.6199188232422	37.519371032714844	9351.23828125	63.404563903808594	2895530	57.93638610839844	33.81051254272461	2103.6611328125	2280.50634765625	34.08230209350586	136541.765625	30732.634765625	58.396968841552734	4063413.75	2986986.75	7.33865213394165	0.03134570270776749	173.15724182128906	37.411163330078125	54.47370910644531	33.70230484008789	1.987460732460022	3479100151182935276	0.009911935729980469	42	4	6250	70	0.48460000000000003	0.5146	0.9992	1590114839908142084	True	True	True
15	15	0.001	8	2	77.66544342041016	53.6475944519043	79.77845764160156	19.698461532592773	6031.92138671875	1231.119873046875	531030	27.97825050354004	15.998446464538574	2878.06494140625	1168.0330810546875	32.30339050292969	113582.515625	54205.57421875	75.30709838867188	709398.625	611624.5	12.819404602050781	0.034766510128974915	76.41935729980469	19.458526611328125	24.619150161743164	15.75851058959961	42.80173873901367	2870264491309729402	0.009957557067871093	42	3	6250	129	0.4327	0.5673	1.0	1590114733970471310	True	True	True
16	16	0.01	10	3	78.62934875488281	42.031532287597656	109.88265991210938	25.49413299560547	6182.57373046875	69.35608673095703	1516030	37.45074462890625	21.87253761291504	1766.649658203125	1285.47216796875	28.629653930664062	90281.6796875	25812.51953125	58.396968841552734	1980256.5	1507100.5	4.870392322540283	0.04433407634496689	106.76665496826172	25.338333129882812	34.33474349975586	21.716737747192383	3.0748379230499268	-4585854124910700937	0.009510661926269532	42	2	6250	20	0.43433999999999995	0.5655	0.99984	1590113120428773524	True	True	True
