	index	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	seed	train_dataset_size	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
0	0	50.66399383544922	6493.20068359375	1211.3487548828125	0.03699364885687828	97.96234130859375	80.58039855957031	81.49311828613281	78.19610595703125	29.123462677001953	25.826454162597656	8.459994316101074	8.224493980407715	4.719305038452148	4.483804225921631	80.68451690673828	130996.8125	29.04642677307129	812189.6875	863812.375	193596.296875	9596.62109375	531030	3172.7666015625	117.37220764160156	0.00999565673828125	42	165	-362011076047133563	0.47430000000000005	1.0	0.5257	0.001	2	8	4	12500	1590962419184551016	True	True	True
1	1	51.21307373046875	6672.67822265625	1206.36669921875	0.03685842454433441	98.86034393310547	81.68646240234375	81.52052307128906	78.2198486328125	29.19811248779297	25.897441864013672	8.461952209472656	8.226189613342285	4.724637031555176	4.488874912261963	75.30709838867188	125646.6015625	29.04642677307129	811202.8125	861634.25	184022.578125	9773.3681640625	531030	3097.578125	114.17184448242188	0.009991168212890625	42	171	-362011076047133563	0.48329999999999995	1.0	0.5167	0.001	2	8	0	12500	1590962419298173519	True	True	True
2	2	49.69634246826172	6632.1435546875	1422.91650390625	0.03573428839445114	102.81458282470703	81.43798065185547	83.99366760253906	80.66202545166016	29.819602966308594	26.487958908081055	8.638605117797852	8.400630950927734	4.769029140472412	4.531054496765137	86.65917205810547	143705.703125	29.04642677307129	1234552.875	1330488.625	229036.703125	10570.837890625	826280	2723.7626953125	97.33171844482422	0.00999236297607422	42	140	4451108838596270159	0.48260000000000003	1.0	0.5174	0.001	2	10	4	12500	1590962419370597801	True	True	True
3	3	48.1347770690918	6928.69140625	1659.71630859375	0.034443069249391556	108.07869720458984	83.23876190185547	86.0665283203125	82.69808197021484	30.24903678894043	26.88058853149414	8.786666870117188	8.546063423156738	4.7997026443481445	4.5590996742248535	86.65917205810547	150130.34375	16.7772159576416	1624465.375	1778902.375	253088.21875	11681.005859375	1186530	2440.57373046875	84.06085205078125	0.009960865936279296	42	126	1828930964881350117	0.4888	1.0	0.5112	0.001	2	12	0	12500	1590962419757547073	True	True	True
4	4	48.7847900390625	6573.17529296875	1435.805419921875	0.03576795756816864	102.47933197021484	81.07512664794922	83.97850036621094	80.64779663085938	29.712955474853516	26.382251739501953	8.637521743774414	8.399614334106445	4.761411666870117	4.523504257202148	86.65917205810547	142428.171875	29.04642677307129	1234129.625	1330558.875	227545.625	10502.01171875	826280	2582.60546875	92.37452697753906	0.0095756396484375	42	147	4451108838596270159	0.47609999999999997	1.0	0.5239	0.001	2	10	0	12500	1590962419917391509	True	True	True
5	5	51.8111457824707	6838.38720703125	1212.7344970703125	0.03593706712126732	99.83319091796875	82.69454193115234	81.6437759399414	78.31778717041016	29.26883316040039	25.942848205566406	8.470755577087402	8.233185768127441	4.72968864440918	4.492117881774902	86.65917205810547	148173.921875	21.664793014526367	780944.75	830722.875	215947.421875	9966.6650390625	531030	3226.728759765625	115.95916748046875	0.009160104522705078	42	171	-362011076047133563	0.4878	1.0	0.5122	0.001	2	8	3	12500	1590962419963590430	True	True	True
6	6	54.14765930175781	7073.12646484375	1195.8251953125	0.037560541182756424	100.7550048828125	84.10187530517578	81.5230941772461	78.24129486083984	29.252912521362305	25.971111297607422	8.462136268615723	8.227721214294434	4.728550910949707	4.494136810302734	86.65917205810547	153259.46875	20.529720306396484	786326.8125	834074.125	219953.359375	10151.5703125	531030	3269.10986328125	122.78953552246094	0.009947137756347656	42	167	-362011076047133563	0.4778	1.0	0.5222	0.001	2	8	1	12500	1590962420320181023	True	True	True
7	7	46.919097900390625	7187.361328125	1892.7728271484375	0.03320401534438133	113.02010345458984	84.77830505371094	87.79242706298828	84.38734436035156	30.632190704345703	27.22710609436035	8.909945487976074	8.666725158691406	4.827071189880371	4.583850860595703	93.32289123535156	167708.03125	14.819605827331543	2144969.75	2376040.5	298037.6875	12773.544921875	1611780	2159.0322265625	71.68853759765625	0.009701233978271485	42	114	-8710934449815583502	0.48540000000000005	1.0	0.5146	0.001	2	14	1	12500	1590962420086264880	True	True	True
8	8	49.96196746826172	6798.4296875	1442.0345458984375	0.03497284650802612	103.71134185791016	82.45259094238281	84.05413818359375	80.70095825195312	29.75800895690918	26.40482521057129	8.642924308776855	8.403411865234375	4.764629364013672	4.525116443634033	80.68451690673828	137153.625	15.752899169921875	1141254.125	1235668.5	216983.140625	10756.041015625	826280	2530.759765625	88.50787353515625	0.00998259033203125	42	148	4451108838596270159	0.47450000000000003	1.0	0.5255	0.001	2	10	3	12500	1590962420157388185	True	True	True
9	9	51.299774169921875	6874.46875	1229.80029296875	0.03723210468888283	99.96597290039062	82.91240692138672	81.66485595703125	78.37427520751953	29.199031829833984	25.908447265625	8.472261428833008	8.23721981048584	4.724702835083008	4.489660739898682	86.65917205810547	148955.578125	29.04642677307129	814026.8125	863460.75	216522.1875	9993.1962890625	531030	3337.78271484375	124.27267456054688	0.009444811706542969	42	175	-362011076047133563	0.493	1.0	0.507	0.001	2	8	2	12500	1590962420447991762	True	True	True
