	index	hp.lr	hp.model_width	hp.model_depth	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_sum_of_fro	complexity.param_norm	complexity.path_norm	complexity.params	complexity.log_prod_of_spec	complexity.log_sum_of_spec	complexity.fro_dist	complexity.fro_over_spec	complexity.dist_spec_init	complexity.pacbayes_orig	complexity.pacbayes_init	complexity.pacbayes_flatness	complexity.pacbayes_mag_orig	complexity.pacbayes_mag_init	complexity.pacbayes_mag_flatness	complexity.inverse_margin	complexity.log_prod_of_fro_over_margin	complexity.log_sum_of_fro_over_margin	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_spec_over_margin	complexity.path_norm_over_margin	experiment_id	cross_entropy	data_seed	seed	train_dataset_size	epoch	gen.gap	gen.val_acc	gen.train_acc	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
0	0	0.01	8	3	70.9315	38.8732	106.32	8.31171	5031.28	84.6451	972830	36.3764	4.81455	1511.13	1095.11	28.0481	69277.2	20821.7	55.0607	1.28644e+06	995088	6.11786	0.0425705	103.163	8.15388	33.2198	4.65672	3.60339	-2959591463707652910	0.00828169	42	4	6250	19	0.4333	0.5667	1	1590113276198804107	True	True	True
2	2	0.01	16	2	92.6272	57.1262	84.5621	8.67921	8579.8	196.05	2102030	29.7422	4.7635	3263.4	1388.18	32.6047	167169	63597.1	77.9263	2.90112e+06	2.39449e+06	7.41693	0.041906	81.3898	8.45261	26.5699	4.53691	8.21568	-2546047217668018735	0.00977058	42	3	6250	25	0.3718	0.6282	1	1590113528386056542	True	True	True
4	4	0.003162	16	5	113.909	49.4626	185.86	9.27385	12975.2	20.5324	7392830	61.4163	5.38499	2446.55	2755.69	36.2819	195233	36829.2	60.18	1.03456e+07	7.27114e+06	7.03761	0.0321531	182.423	9.16644	57.979	5.27758	0.660181	-5508358605167037948	0.00981839	42	0	6250	63	0.45752	0.5412	0.99872	1590113489209509612	True	True	True
7	7	0.001	16	2	105.559	68.636	87.9774	8.92316	11142.8	1006.45	2102030	30.1827	4.79496	4710.9	2174.33	33.3249	241427	102082	86.6592	2.6508e+06	2.19954e+06	8.46281	0.0328201	84.5607	8.6791	26.766	4.55091	33.0318	3878930905162672824	0.00999221	42	4	6250	91	0.4239	0.5761	1	1590115277185170393	True	True	True
10	10	0.003162	16	2	100.642	63.7054	86.8834	8.84501	10128.8	602.291	2102030	29.8668	4.7724	4058.37	1926.85	31.7931	204331	81882.9	80.6845	2.72841e+06	2.24903e+06	7.65943	0.0338449	83.4974	8.60316	26.4808	4.53054	20.3845	-5731590468595689123	0.00875016	42	1	6250	39	0.4074	0.5926	1	1590113632883816676	True	True	True
11	11	0.003162	14	6	113.659	48.5027	215.739	9.31492	12918.3	13.8213	7014380	71.9593	5.53125	2352.51	2722.02	42.6195	194376	35414.3	60.18	8.97524e+06	5.99732e+06	3.73292	0.0330779	212.33	9.22522	68.5504	5.44155	0.45718	-1831960413689477244	0.00903376	42	2	6250	111	0.44636	0.553	0.99936	1590114370114903741	True	True	True
13	13	0.01	12	2	81.7915	52.4569	81.486	8.45949	6689.85	239.215	1186530	28.9482	4.70678	2751.72	1103.41	32.7565	114075	46934.7	68.1956	1.61559e+06	1.35295e+06	7.49647	0.0436883	78.3553	8.23587	25.8175	4.48316	10.4509	-2775294095317312987	0.00989068	42	2	6250	30	0.3901	0.6099	1	1590113147000351227	True	True	True
14	14	0.001585	10	5	96.7018	45.8657	176.62	8.98511	9351.24	63.4046	2895530	57.9364	5.27625	2103.66	2280.51	34.0823	136542	30732.6	58.397	4.06341e+06	2.98699e+06	7.33865	0.0313457	173.157	8.8769	54.4737	5.16804	1.98746	3479100151182935276	0.00991194	42	4	6250	70	0.4846	0.5146	0.9992	1590114839908142084	True	True	True
15	15	0.001	8	2	77.6654	53.6476	79.7785	8.33752	6031.92	1231.12	531030	27.9783	4.6375	2878.06	1168.03	32.3034	113583	54205.6	75.3071	709399	611624	12.8194	0.0347665	76.4194	8.09758	24.6192	4.39757	42.8017	2870264491309729402	0.00995756	42	3	6250	129	0.4327	0.5673	1	1590114733970471310	True	True	True
16	16	0.01	10	3	78.6293	42.0315	109.883	8.48987	6182.57	69.3561	1516030	37.4507	4.86827	1766.65	1285.47	28.6297	90281.7	25812.5	58.397	1.98026e+06	1.5071e+06	4.87039	0.0443341	106.767	8.33407	34.3347	4.71247	3.07484	-4585854124910700937	0.00951066	42	2	6250	20	0.43434	0.5655	0.99984	1590113120428773524	True	True	True
