	index	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	seed	train_dataset_size	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
336	336	30.4681	2983.81	2008.45	0.0398447	95.7558	54.6242	117.171	113.948	39.2077	35.9849	8.85427	8.69314	4.95612	4.79498	77.9263	58151.5	7.33865	2.29167e+06	2.90154e+06	178652	9169.17	2179230	429.094	17.0971	0.00869447	42	20	7813577393276342875	0.336	1	0.664	0.00158489	3	12	1	25000	1590102180131579784	True	True	True
337	337	31.3662	2973.56	1982.5	0.043395	95.6077	54.5304	117.108	113.971	39.3554	36.218	8.85113	8.69426	4.9635	4.80663	80.6845	60002.4	7.11111	2.29678e+06	2.90684e+06	184403	9140.84	2179230	421.234	18.2795	0.00980358	42	20	7813577393276342875	0.34166	0.99996	0.6583	0.00158489	3	12	2	25000	1590102187293012898	True	True	True
338	338	31.2749	3029.64	2000.19	0.0415694	96.0348	55.0422	117.183	114.003	39.3071	36.1267	8.8549	8.69588	4.96109	4.80207	77.9263	59044.5	7.11111	2.29034e+06	2.8951e+06	179695	9222.68	2179230	426.96	17.7485	0.00932948	42	20	7813577393276342875	0.33606	0.99996	0.6639	0.00158489	3	12	3	25000	1590102196821614359	True	True	True
339	339	30.8379	3004.28	2005.22	0.0428646	95.8621	54.8113	117.225	114.075	39.2856	36.1359	8.85698	8.69949	4.96001	4.80253	80.6845	60622.1	7.11111	2.28705e+06	2.89442e+06	185386	9189.54	2179230	442.845	18.9824	0.00952563	42	20	7813577393276342875	0.34216	0.99996	0.6578	0.00158489	3	12	4	25000	1590102219423320776	True	True	True
340	340	31.0486	3445.22	2291.55	0.0423874	103.33	58.696	119.866	116.705	39.9815	36.8206	8.98902	8.83098	4.99481	4.83676	86.6592	74662.3	8.5598	3.21018e+06	4.04572e+06	231339	10677.1	2962430	415.136	17.5965	0.00957552	42	20	1556580513439718408	0.3276	1	0.6724	0.00158489	3	14	0	25000	1590102227620389391	True	True	True
341	341	30.657	3404.1	2300.9	0.0411039	103.207	58.3447	119.91	116.718	40.0018	36.8101	8.99123	8.83165	4.99582	4.83624	86.6592	73771.6	6.48855	3.05625e+06	3.8989e+06	230788	10651.6	2962430	418.692	17.2099	0.00937899	42	19	1556580513439718408	0.32326	0.99996	0.6767	0.00158489	3	14	1	25000	1590102227715358448	True	True	True
342	342	30.702	3409.35	2313.22	0.040767	103.313	58.3897	119.915	116.715	39.9262	36.7263	8.99148	8.83149	4.99204	4.83205	80.6845	68792.9	6.5536	3.05967e+06	3.90271e+06	215322	10673.7	2962430	417.962	17.039	0.00916384	42	19	1556580513439718408	0.3288	1	0.6712	0.00158489	3	14	3	25000	1590102249410155253	True	True	True
343	343	31.3573	3442.94	2301.77	0.0422578	103.417	58.6766	119.92	116.756	40.0189	36.8549	8.99175	8.83355	4.99668	4.83848	83.5918	71972.8	7.11111	3.11589e+06	3.95317e+06	223526	10695	2962430	425.482	17.9799	0.00958366	42	18	1556580513439718408	0.3376	1	0.6624	0.00158489	3	14	2	25000	1590102249628871500	True	True	True
344	344	31.1367	3873.77	2628.71	0.0422974	110.452	62.2396	122.28	119.117	40.558	37.3949	9.10974	8.95159	5.02363	4.86548	93.3229	90400.3	6.75472	4.02518e+06	5.13118e+06	284648	12199.6	3865630	411.856	17.4204	0.00967703	42	17	388388307254207839	0.3264	1	0.6736	0.00158489	3	16	0	25000	1590102257995788981	True	True	True
345	345	30.9124	3895.03	2628.24	0.0413497	110.556	62.4102	122.25	119.064	40.5103	37.3246	9.10821	8.94893	5.02125	4.86196	86.6592	84407.5	7.11111	4.05186e+06	5.1544e+06	264823	12222.6	3865630	401.021	16.5821	0.00989558	42	18	388388307254207839	0.32696	0.99996	0.673	0.00158489	3	16	1	25000	1590102258457328171	True	True	True
