	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	index	is.converged	is.high_train_accuracy	is.last_epoch	repeat_id	seed	train_dataset_size	complexity.dist_spec_init_adjusted1	complexity.fro_dist_adjusted1	complexity.fro_over_spec_adjusted1	complexity.l2_adjusted1	complexity.l2_dist_adjusted1	complexity.log_prod_of_fro_adjusted1	complexity.log_prod_of_fro_over_margin_adjusted1	complexity.log_prod_of_spec_adjusted1	complexity.log_prod_of_spec_over_margin_adjusted1	complexity.log_sum_of_fro_adjusted1	complexity.log_sum_of_fro_over_margin_adjusted1	complexity.log_sum_of_spec_adjusted1	complexity.log_sum_of_spec_over_margin_adjusted1	complexity.pacbayes_flatness_adjusted1	complexity.pacbayes_init_adjusted1	complexity.pacbayes_mag_flatness_adjusted1	complexity.pacbayes_mag_init_adjusted1	complexity.pacbayes_mag_orig_adjusted1	complexity.pacbayes_orig_adjusted1	complexity.param_norm_adjusted1	complexity.path_norm_adjusted1	complexity.path_norm_over_margin_adjusted1	complexity.path_norm_adjusted2	complexity.path_norm_over_margin_adjusted2
21	45.446	2042.69	2128.29	0.0395891	106.807	45.1961	210.369	207.14	72.1729	68.9436	9.17362	9.08864	5.53687	5.45189	60.18	30753	4.03143	6.00557e+06	9.01241e+06	171649	11407.7	7014380	8.91207	0.352821	0.00898038	42	77	-127866482121014666	0.4511	0.9992	0.5481	0.00631	6	14	21	True	True	True	1590114999786474398	4	6250	0.0852723	0.571691	0.583546	0.130725	0.0850375	0.183464	0.182051	0.10746	0.105028	0.0383116	0.0381337	0.0297641	0.0295348	0.0981264	2.21822	0.0253974	30.9982	37.9735	5.2406	1.35101	0.0377615	0.00751341	15323.5	7.8206e-50
22	32.8229	2456.66	935.179	0.0408849	72.3009	49.5647	78.0888	74.8918	27.7414	24.5444	8.21683	7.98847	4.62058	4.39223	55.0607	33837.1	8.75886	607496	707272	71977.1	5227.42	531030	510.634	20.8772	0.00976662	42	41	3245632698784002773	0.3979	1	0.6021	0.00631	2	8	22	True	True	True	1590113428186189924	3	6250	0.0724684	0.626949	0.386819	0.107555	0.0890525	0.111777	0.109465	0.066623	0.0626666	0.0362587	0.0357513	0.0271899	0.0265096	0.0938601	2.32679	0.0374355	9.85897	10.6378	3.39357	0.914542	0.285835	0.0577958	9.83331e+27	3.58571e+08
23	33.0061	3774.09	1664.98	0.0331133	92.5029	61.4337	84.5657	81.1579	29.312	25.9042	8.67946	8.43605	4.73277	4.48936	86.6592	81785.9	10.3692	1.29959e+06	1.54162e+06	185402	8556.79	1186530	1068.08	35.3676	0.00962851	42	106	6884079626664233470	0.4251	1	0.5749	0.001	2	12	23	True	True	True	1590113849534355266	0	6250	0.0726703	0.777081	0.516136	0.121657	0.0991433	0.116321	0.113953	0.068483	0.0643791	0.0372654	0.0367392	0.0275181	0.0268011	0.117752	3.61742	0.0407317	14.4199	15.7054	5.4465	1.17008	0.413392	0.0752251	3.01729e+32	5.74966e+11
24	33.0073	2282.83	2426.12	0.023838	98.9803	47.779	178.167	174.431	58.0982	54.3617	9.03346	8.9167	5.2813	5.16454	62.0459	35430.9	7.11111	2.98974e+06	4.04085e+06	151988	9797.11	2895530	113.392	2.70304	0.00964807	42	130	4108024635023438784	0.48602	0.99792	0.5119	0.001	5	10	24	True	True	True	1590114153814073327	1	6250	0.0726716	0.604361	0.62304	0.125845	0.0874336	0.168839	0.16706	0.0964143	0.0932624	0.0380178	0.0377713	0.029069	0.0287459	0.0996361	2.38095	0.033731	21.8714	25.4271	4.93134	1.25201	0.134695	0.0207963	5.83845e+39	6.90144e-13
26	27.0516	2361.05	1739.58	0.0374558	87.0258	48.5907	113.273	109.988	37.8181	34.5335	8.65937	8.49514	4.88664	4.72241	64	37797.6	6.1774	1.53683e+06	1.97712e+06	121197	7573.49	1516030	308.791	11.566	0.00967536	42	22	-960831693199451593	0.4707	1	0.5293	0.003162	3	10	26	True	True	True	1590113328440067677	0	6250	0.0657895	0.614628	0.527573	0.118001	0.0881732	0.134624	0.132658	0.0777875	0.0743328	0.0372223	0.0368676	0.0279618	0.0274879	0.101193	2.45919	0.0314386	15.681	17.7859	4.40358	1.1008	0.222276	0.0430181	7.67455e+34	2.26686e+06
27	31.2992	2194.94	2092.42	0.0415093	102.82	46.8502	149.496	146.314	49.7731	46.5912	9.00793	8.88555	5.17245	5.05007	62.0459	34067.6	3.31992	5.01561e+06	7.222e+06	164008	10572	5629230	13.0764	0.542792	0.00954844	42	19	-5507333751871766013	0.43224	0.99984	0.5676	0.01	4	16	27	True	True	True	1590113728229959619	4	6250	0.0707663	0.592613	0.578608	0.128262	0.0865796	0.154659	0.153004	0.0892395	0.08634	0.037964	0.0377053	0.0287679	0.0284255	0.0996361	2.3347	0.0230475	28.3284	33.9929	5.12262	1.30058	0.0457408	0.00931916	5.44628e+08	6.42504e-28
28	40.6601	3129.45	3523.74	0.0302309	122.8	55.9415	221.468	217.969	72.1595	68.6606	9.46568	9.37361	5.53652	5.44444	64	50092.1	4.16095	6.17875e+06	8.92881e+06	241299	15079.9	7014380	34.4802	1.04237	0.00968849	42	121	-1144163114263428380	0.47256	0.99936	0.5268	0.001585	6	14	28	True	True	True	1590113684196251295	0	6250	0.0806574	0.70761	0.750865	0.140171	0.0946078	0.188242	0.186749	0.10745	0.104813	0.0389167	0.038727	0.0297631	0.0295146	0.101193	2.83103	0.0258022	31.442	37.797	6.21352	1.55331	0.0742754	0.0129143	3.26455e+26	5.90207e-32
29	28.4599	2282.65	1706.55	0.0439914	92.3761	47.777	115.482	112.358	38.9548	35.831	8.76983	8.61364	4.94347	4.78728	64	36543.1	4.55111	2.92704e+06	3.90098e+06	136554	8533.35	2962430	54.84	2.41249	0.00937545	42	17	-5125843615822465566	0.4273	1	0.5727	0.01	3	14	29	True	True	True	1590112977634594590	0	6250	0.0674802	0.604338	0.52254	0.121574	0.0874318	0.135931	0.134079	0.0789479	0.0757163	0.0374589	0.0371239	0.0281239	0.0276761	0.101193	2.41804	0.0269848	21.6409	24.9831	4.67425	1.16848	0.0936718	0.0196468	7.47668e+19	5.50897e-08
30	27.9343	2764.67	2032.26	0.0422437	97.8049	52.5802	117.42	114.256	39.0897	35.9254	8.86673	8.70851	4.95022	4.792	64	44255.6	5.04278	3.00052e+06	3.91739e+06	153074	9565.8	2962430	125.087	5.28414	0.00999529	42	18	3525081532476637291	0.4389	1	0.5611	0.00631	3	14	30	True	True	True	1590113659183786173	4	6250	0.0668542	0.665092	0.570229	0.125095	0.0917215	0.137066	0.135207	0.0790845	0.075816	0.0376653	0.0373278	0.0281431	0.0276897	0.101193	2.661	0.028405	21.9108	25.0356	4.94892	1.23715	0.141471	0.0290768	1.08643e+27	0.355833
33	41.3467	2240.42	2554.58	0.0311414	107.436	47.3331	211.672	208.203	70.3365	66.8673	9.20791	9.11662	5.48855	5.39725	58.397	32729.2	3.51734	4.4213e+06	6.52871e+06	168534	11542.6	5157330	14.9541	0.465692	0.00869963	42	80	-5887905545788027288	0.45186	0.99936	0.5475	0.003162	6	12	33	True	True	True	1590114688343408520	3	6250	0.0813356	0.598721	0.639322	0.13111	0.0870247	0.184031	0.182517	0.106084	0.103435	0.0383831	0.0381924	0.0296339	0.0293864	0.0966619	2.28838	0.0237229	26.5971	32.3202	5.19283	1.35898	0.0489148	0.00863196	5.33411e+12	2.978e-45
35	49.0392	2157.04	1655.7	inf	101.046	46.4439	205.174	inf	72.5984	inf	9.0369	inf	5.54807	inf	53.4988	28870.5	3.34367	5.87203e+06	8.58992e+06	136580	10210.3	7014380	7.39283	inf	0.247502	42	300	8862306381679044440	0.40728	0.89408	0.4868	0.01	6	14	35	False	False	True	1590114210779756738	4	6250	0.0885792	0.587475	0.514696	0.127151	0.0862034	0.181185	inf	0.107776	inf	0.038025	inf	0.0297941	inf	0.0925192	2.14925	0.0231298	30.6517	37.0727	4.6747	1.27814	0.0343926	inf	12.6177	inf
42	39.3613	2671.34	2886.3	0.0315699	107.744	51.685	212.156	208.701	69.2358	65.7803	9.22064	9.1297	5.45958	5.36865	60.18	40211.1	4.74684	3.25313e+06	4.56592e+06	174675	11608.8	3585280	91.0369	2.87402	0.0099791	42	143	-4508936653500366188	0.48678	0.99968	0.5129	0.001	6	10	42	True	True	True	1590114382167737976	1	6250	0.0793587	0.653769	0.679565	0.131298	0.0909373	0.184242	0.182735	0.105251	0.102591	0.0384097	0.0382198	0.0295556	0.0293084	0.0981264	2.53649	0.0275589	22.8145	27.0286	5.28659	1.36287	0.120689	0.021444	3.43902e+42	3.22689e-15
44	47.0216	1761.29	1435.32	0.0412657	87.882	41.9678	196.225	193.038	69.2956	66.1079	8.80141	8.71752	5.46116	5.37727	53.4988	23577.5	3.87787	3.17586e+06	4.49633e+06	103317	7723.24	3585280	7.72292	0.318692	0.0093801	42	66	-8999065712151771232	0.45776	0.99936	0.5416	0.01	6	10	44	True	True	True	1590113856497456223	1	6250	0.0867379	0.530854	0.479219	0.11858	0.0819442	0.177189	0.175744	0.105296	0.102846	0.0375263	0.0373471	0.0295599	0.0293319	0.0925192	1.94227	0.024909	22.5419	26.8219	4.0658	1.11163	0.0351521	0.00714078	66.3544	1.63786e-51
45	42.8302	2798.56	3189.94	0.0331443	123.5	52.9014	221.042	217.635	73.3226	69.9157	9.45449	9.36484	5.56713	5.47747	62.0459	43430.6	3.16049	7.60844e+06	1.14792e+07	236606	15252.3	9156430	12.418	0.411585	0.00972402	42	67	8269298200742140557	0.45078	0.99968	0.5489	0.003162	6	16	45	True	True	True	1590115860703680740	4	6250	0.0827818	0.669156	0.714416	0.14057	0.0920012	0.18806	0.186605	0.108313	0.105766	0.0388937	0.0387088	0.0298453	0.029604	0.0996361	2.63608	0.0224873	34.8905	42.8564	6.1528	1.56217	0.0445744	0.00811502	4.5723e+09	2.72668e-47
46	33.1468	3403.11	1416.49	0.0352407	86.0062	58.3362	82.512	79.1664	28.7724	25.4268	8.53277	8.2938	4.69423	4.45526	80.6845	68665.5	10.9113	925924	1.08569e+06	149228	7397.07	826280	1178.87	41.5442	0.00993479	42	116	-5818915736647638061	0.4386	1	0.5614	0.001	2	10	46	True	True	True	1590114520358810091	3	6250	0.0728251	0.737901	0.476066	0.117307	0.0966116	0.1149	0.112546	0.0678497	0.0637831	0.0369492	0.0364281	0.0274058	0.0266991	0.11362	3.31459	0.0417829	12.1716	13.1799	4.88636	1.0879	0.434303	0.0815296	1.2014e+33	5.47406e+12
