	index	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	seed	train_dataset_size	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
0	0	43.5692	4926.1	1414.65	0.0466933	96.3394	70.1862	84.7407	81.6766	30.2374	27.1732	8.69197	8.4731	4.79887	4.58	93.3229	114953	16	1.51229e+06	1.69959e+06	216562	9281.29	1186530	1356.54	63.3413	0.00987417	42	58	-502694889760783273	0.2682	1	0.7318	0.001	2	12	2	50000	1590098175192564895	True	True	True
1	1	45.0856	5209.64	1443.53	0.0450455	97.8577	72.1778	84.8955	81.7954	30.2103	27.1102	8.70302	8.48159	4.79694	4.5755	83.5918	108894	15.7529	1.52703e+06	1.70703e+06	200144	9576.12	1186530	1684.72	75.8892	0.00970239	42	56	-502694889760783273	0.2614	1	0.7386	0.001	2	12	0	50000	1590098175621826267	True	True	True
2	2	44.9616	5159.82	1444.02	0.044449	97.5795	71.8319	84.8693	81.7559	30.2052	27.0918	8.70115	8.47877	4.79657	4.57419	86.6592	111810	17.6125	1.54755e+06	1.72871e+06	206310	9521.76	1186530	1537.8	68.3537	0.00971926	42	57	-502694889760783273	0.267	1	0.733	0.001	2	12	1	50000	1590098175979143793	True	True	True
3	3	47.6173	5503.53	1091.58	0.0479433	91.1229	74.1858	80.6707	77.633	29.08	26.0423	8.40125	8.18427	4.7162	4.49922	80.6845	111035	23.3307	763116	817463	167512	8303.38	531030	2331.79	111.794	0.0099352	42	81	-8523305536344828929	0.2787	1	0.7213	0.001	2	8	4	50000	1590098194382110279	True	True	True
4	4	50.2524	5299.77	1070.41	0.0476506	90.0938	72.7995	80.6643	77.6205	29.2495	26.2057	8.4008	8.18338	4.72831	4.51089	75.3071	99800.6	23.7772	758284	814614	152838	8116.9	531030	2288.51	109.049	0.00981034	42	82	-8523305536344828929	0.2719	1	0.7281	0.001	2	8	3	50000	1590098197501332755	True	True	True
5	5	49.9789	5691.32	1073.7	0.0468417	92.1464	75.4408	80.7546	77.6936	29.2644	26.2034	8.40725	8.1886	4.72937	4.51073	83.5918	118960	26.2144	779809	832674	177467	8490.95	531030	2497.82	117.002	0.00966296	42	81	-8523305536344828929	0.2713	1	0.7287	0.001	2	8	0	50000	1590098198314828278	True	True	True
6	6	50.4928	5660.83	1073.24	0.0477013	92.0005	75.2385	80.739	77.6962	29.2612	26.2184	8.40613	8.18878	4.72915	4.5118	89.8985	127248	20.898	754076	807232	190250	8464.09	531030	2471.2	117.879	0.00989528	42	81	-8523305536344828929	0.2746	1	0.7254	0.001	2	8	1	50000	1590098198476290150	True	True	True
7	7	47.1225	5029.19	1245.67	0.046449	92.7425	70.9168	82.8948	79.8254	29.7733	26.7039	8.56012	8.34087	4.76572	4.54648	80.6845	101468	20.5297	1.12007e+06	1.2305e+06	173518	8601.17	826280	1864.3	86.5948	0.00995002	42	65	-3728529269831051920	0.2675	1	0.7325	0.001	2	10	1	50000	1590098198562370307	True	True	True
8	8	47.4427	5187.23	1242.72	0.0472917	93.54	72.0224	82.8836	79.8322	29.7625	26.7111	8.55932	8.34136	4.76495	4.54699	80.6845	104655	24.2367	1.15846e+06	1.26605e+06	176515	8749.73	826280	1937.76	91.6399	0.0097768	42	65	-3728529269831051920	0.2687	1	0.7313	0.001	2	10	2	50000	1590098198608740044	True	True	True
9	9	46.2047	5103.44	1253.77	0.0443728	93.1762	71.4383	82.9377	79.8225	29.7366	26.6215	8.56318	8.34067	4.7631	4.54059	83.5918	106674	21.2762	1.12869e+06	1.23803e+06	181455	8681.8	826280	1905.15	84.5369	0.00924086	42	66	-3728529269831051920	0.2646	1	0.7354	0.001	2	10	0	50000	1590098200098162938	True	True	True
