	index	hp.lr	hp.model_width	hp.model_depth	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_sum_of_fro	complexity.param_norm	complexity.path_norm	complexity.params	complexity.log_prod_of_spec	complexity.log_sum_of_spec	complexity.fro_dist	complexity.fro_over_spec	complexity.dist_spec_init	complexity.pacbayes_orig	complexity.pacbayes_init	complexity.pacbayes_flatness	complexity.pacbayes_mag_orig	complexity.pacbayes_mag_init	complexity.pacbayes_mag_flatness	complexity.inverse_margin	complexity.log_prod_of_fro_over_margin	complexity.log_sum_of_fro_over_margin	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_spec_over_margin	complexity.path_norm_over_margin	experiment_id	cross_entropy	data_seed	seed	train_dataset_size	epoch	gen.gap	gen.val_acc	gen.train_acc	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
291	291	0.001	8	3	81.1469	47.1512	110.833	8.5374	6584.83	685.975	972830	37.2373	4.8576	2223.24	1560.28	27.5845	119895	40494.4	72.8178	1.25288e+06	989844	7.74291	0.0380767	107.565	8.37399	33.9691	4.69419	26.1197	3577345688727135263	0.0099429	42	1	12500	34	0.4471	0.5529	1	1590115274531927111	True	True	True
292	292	0.001585	8	2	78.7849	56.6978	79.7403	8.3348	6207.06	1278.26	531030	28.2344	4.6558	3214.64	1096.05	36.1497	113018	58542.3	72.8178	728254	641311	12.8194	0.0411416	76.5496	8.10689	25.0436	4.42789	52.5897	2534524558569033911	0.0098943	42	0	12500	75	0.3718	0.6282	1	1590114751888007701	True	True	True
296	296	0.001585	12	5	104.543	49.4675	181.417	9.13503	10929.2	50.5174	4164630	59.6712	5.33046	2447.03	2529.52	36.2302	174889	39174.1	64	6.06012e+06	4.50659e+06	10.6351	0.028996	177.877	9.02439	56.1306	5.21982	1.4648	-6638578279246172353	0.00974862	42	2	12500	60	0.38542	0.6129	0.99832	1590115696279909500	True	True	True
297	297	0.003162	8	2	76.4165	54.7787	79.0337	8.28432	5839.49	846.634	531030	28.2369	4.65598	3000.71	991.779	36.7315	109960	56515.3	75.3071	736277	648301	12.4682	0.042464	75.8746	8.05867	25.0778	4.43033	35.9515	4533618513740012934	0.00936409	42	2	12500	50	0.3622	0.6378	1	1590114738874246434	True	True	True
299	299	0.01	8	4	72.7756	38.3195	134.297	8.42336	5296.29	27.8434	1414630	46.2717	5.03778	1468.38	1122.08	33.1039	72925.8	20234	55.0607	1.74121e+06	1.28927e+06	4.55111	0.0417418	131.121	8.3012	43.0955	4.91561	1.16223	-2972983487453045749	0.00866491	42	1	12500	25	0.34916	0.6502	0.99936	1590114160286552774	True	True	True
301	301	0.001	10	2	86.3462	59.772	82.5387	8.53468	7455.67	1241.79	826280	29.0478	4.7139	3572.7	1363.71	36.2537	150411	72086.9	80.6845	1.07903e+06	927643	10.24	0.0379899	79.2682	8.30108	25.7773	4.4803	47.1754	-5818915736647638061	0.00984589	42	1	12500	92	0.3733	0.6267	1	1590115665717283071	True	True	True
307	307	0.01	10	6	88.5136	44.4862	196.549	8.80993	7834.66	7.64615	3585280	69.5687	5.46834	1979.02	1426.82	49.1613	111062	28070.1	56.692	4.55733e+06	3.32813e+06	4.55111	0.0396645	193.322	8.725	66.3414	5.38341	0.303281	-8999065712151771232	0.00948806	42	2	12500	54	0.37062	0.6281	0.99872	1590116070917610604	True	True	True
309	309	0.00631	12	5	93.4062	43.2567	173.579	8.89007	8724.71	15.938	4164630	59.9585	5.33944	1871.14	1657.09	40.7439	127396	27338.7	58.397	5.48136e+06	3.88339e+06	5.46577	0.0355136	170.241	8.78576	56.6206	5.23513	0.566016	-8815328846251384062	0.00982259	42	1	12500	38	0.36154	0.6367	0.99824	1590114756422275615	True	True	True
310	310	0.01	10	2	77.1934	53.7085	79.6315	8.32702	5958.81	302.206	826280	28.8048	4.69654	2884.6	921.938	36.6067	104971	50826.5	70.4499	1.1385e+06	989215	9.74658	0.0452712	76.5364	8.10594	25.7097	4.47547	13.6812	159914500585748848	0.00935115	42	3	12500	28	0.3323	0.6677	1	1590114377557475592	True	True	True
311	311	0.003162	8	6	87.8063	42.5963	197.583	8.83714	7709.94	17.5245	2298230	66.8479	5.39674	1814.45	1752.46	43.4496	109295	25737.6	56.692	2.96859e+06	2.14043e+06	4.55111	0.0394865	194.351	8.7521	63.6161	5.31169	0.691979	-1252705006775983989	0.00970382	42	3	12500	75	0.38338	0.6163	0.99968	1590115877245774229	True	True	True
