	index	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	seed	train_dataset_size	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
0	0	75.86563110351562	17369.099609375	1237.5595703125	0.04660473391413689	142.036865234375	131.7918701171875	82.2198257446289	79.15377044677734	30.176651000976562	27.110597610473633	8.511902809143066	8.292898178100586	4.794532775878906	4.575528621673584	80.68451690673828	350377.3125	58.396968841552734	1000550.375	1020336.375	406964.84375	20174.47265625	531030	5517.86181640625	257.1584777832031	0.00979201171875	42	147	-362011076047133563	0.3208	1.0	0.6792	0.001	2	8	0	50000	1590937678215869780	True	True	True
1	1	74.67071533203125	17482.2578125	1262.387451171875	0.045860253274440765	142.54019165039062	132.22048950195312	82.34253692626953	79.26038360595703	30.12485122680664	27.042694091796875	8.52066707611084	8.30051326751709	4.79083251953125	4.5706787109375	83.59183502197266	365366.53125	45.385040283203125	972942.3125	992805.125	424621.625	20317.703125	531030	5557.490234375	254.867919921875	0.009755692520141602	42	148	-362011076047133563	0.31677999999999995	0.99998	0.6832	0.001	2	8	2	50000	1590937678286556158	True	True	True
2	2	70.42655944824219	13539.95703125	1349.85302734375	0.04352792724967003	130.93470764160156	116.361328125	84.4818344116211	81.34748077392578	30.846982955932617	27.712631225585938	8.673474311828613	8.449591636657715	4.842413425445557	4.618531227111816	96.94674682617188	328186.84375	27.860984802246094	1367276.5	1415845.75	415534.375	17143.89453125	826280	3961.357666015625	172.4296875	0.009706766510009766	42	116	4451108838596270159	0.3094	1.0	0.6906	0.001	2	10	0	50000	1590937678283659783	True	True	True
3	3	76.1395263671875	16710.41796875	1238.58544921875	0.045902516692876816	139.7825164794922	129.26878356933594	82.28511810302734	79.2038803100586	30.19640350341797	27.11516761779785	8.516566276550293	8.296477317810059	4.795943260192871	4.575855255126953	83.59183502197266	349236.65625	33.85123825073242	935083.4375	955749.875	408351.4375	19539.1484375	531030	5133.43017578125	235.6373748779297	0.009912164916992188	42	149	-362011076047133563	0.31489999999999996	1.0	0.6851	0.001	2	8	1	50000	1590937678237743074	True	True	True
4	4	69.80701446533203	13495.4921875	1370.781982421875	0.04357437044382095	130.8295135498047	116.17008972167969	84.52043914794922	81.38715362548828	30.747766494750977	27.61448097229004	8.67623233795166	8.452425956726074	4.835326194763184	4.611520290374756	93.32289123535156	314882.625	45.385040283203125	1446322.5	1495237.75	399360.1875	17116.36328125	826280	4003.493896484375	174.44972229003906	0.009894371490478516	42	115	4451108838596270159	0.3043	1.0	0.6957	0.001	2	10	1	50000	1590937678285791915	True	True	True
5	5	72.51253509521484	15222.3203125	1223.130615234375	0.045246269553899765	134.45298767089844	123.37877655029297	82.24452209472656	79.14888763427734	30.22278594970703	27.127151489257812	8.513666152954102	8.292550086975098	4.79782772064209	4.576711177825928	83.59183502197266	318138.5	30.309167861938477	907115.0	929832.6875	377808.09375	18077.60546875	531030	4447.16259765625	201.217529296875	0.009828050842285156	42	155	-362011076047133563	0.31079999999999997	1.0	0.6892	0.001	2	8	3	50000	1590937678326086933	True	True	True
6	6	76.72918701171875	16757.521484375	1214.992431640625	0.045411091297864914	139.87535095214844	129.4508514404297	82.21247863769531	79.1204833984375	30.297000885009766	27.205001831054688	8.511377334594727	8.290520668029785	4.803129196166992	4.582272052764893	93.32289123535156	390988.21875	58.396968841552734	996764.25	1017234.1875	456491.34375	19565.11328125	531030	5364.486328125	243.607177734375	0.009659370422363282	42	142	-362011076047133563	0.31328	0.99998	0.6867	0.001	2	8	4	50000	1590937678368042227	True	True	True
7	7	63.71283721923828	11806.921875	1522.3076171875	0.04256529361009598	127.4046630859375	108.65965270996094	86.32212829589844	83.16541290283203	31.183887481689453	28.027172088623047	8.804924011230469	8.57944393157959	4.866477966308594	4.640998363494873	96.94674682617188	286183.71875	29.04642677307129	1907315.0	2001435.75	393431.75	16231.94921875	1186530	3065.6455078125	130.49009704589844	0.009647732391357421	42	95	1828930964881350117	0.30720000000000003	1.0	0.6928	0.001	2	12	3	50000	1590937678567459674	True	True	True
8	8	70.56620025634766	14350.4072265625	1372.8734130859375	0.04311693087220192	133.9045867919922	119.7931900024414	84.42073822021484	81.27690124511719	30.70224952697754	27.55841064453125	8.669110298156738	8.444550514221191	4.832075119018555	4.607515335083008	89.89849090576172	322543.0625	40.959999084472656	1446634.125	1492471.125	403002.875	17930.439453125	826280	4151.38330078125	178.99490356445312	0.009422228698730469	42	116	4451108838596270159	0.30655999999999994	0.99996	0.6934	0.001	2	10	2	50000	1590937678524897474	True	True	True
9	9	64.7432861328125	12035.23046875	1522.701171875	0.04242394492030144	128.30401611328125	109.70520782470703	86.35926818847656	83.19922637939453	31.220809936523438	28.060768127441406	8.807577133178711	8.581859588623047	4.869115352630615	4.643398284912109	86.65917205810547	260763.859375	25.697872161865234	1886183.125	1978800.75	356667.15625	16461.91796875	1186530	3089.375244140625	131.0634765625	0.009889833374023438	42	98	1828930964881350117	0.3034	1.0	0.6966	0.001	2	12	4	50000	1590937678521581326	True	True	True
