,name,lr,rex,bias,optim,steps,dataset,datafile,datasize,exp_type,env_split,wandb_tag,weight_init,actual_measure,only_bias__ignore_input,selected_single_measure,nonnegative_weights_only,_step,_runtime,train_mse,rex_penalty,irmv1_penalty,bias,robustness_penalty,loss,risk_max,risk_min,_timestamp,risk_range,risk_argmax,weight_grad,weight,bias_grad
0,clear-forest-357,0.01,False,True,sgdm,500,,nin.cifar10_svhn,,v3,train_size,sep24_v3,0.001,complexity.path_norm,True,path_norm,True,499,248,0.017986595630645752,1.9726552636711855e-05,0.002432595705613494,0.30757880210876465,0.005487561691552401,0.005487561691552401,0.0219502467662096,0.013741576112806795,1601045204,0.008208670653402805,3,0.0,0.0010000000474974513,-0.03047548234462738
1,fanciful-plasma-356,0.002,False,True,sgdm,500,,nin.cifar10_svhn,,v3,train_size,sep24_v3,0.001,complexity.log_sum_of_spec_fft,False,log_sum_of_spec,True,499,239,0.014767445623874664,7.301582172658527e-06,0.00022601762611884624,0.2163504064083099,0.004272104240953922,0.004272104240953922,0.01708841696381569,0.011923746205866337,1601045194,0.005164670757949352,3,-7.57407397031784e-05,0.12051327526569366,9.839055564953014e-05
2,scarlet-bush-355,0.002,False,True,sgdm,500,,nin.cifar10_svhn,,v3,train_size,sep24_v3,0.001,complexity.param_norm,False,param_norm,True,499,243,0.011691533960402012,3.1992381991585717e-05,0.00013136383495293558,0.24261753261089325,0.004593461751937866,0.004593461751937866,0.018373847007751465,0.005339403171092272,1601045184,0.01303444430232048,3,0.002981617581099272,0.0888114795088768,-0.0045185093767941
3,good-night-354,0.01,False,True,sgdm,500,,nin.cifar10_svhn,,v3,dataset,sep24_v3,0.001,complexity.path_norm,True,path_norm,True,499,135,0.017296383157372475,2.1182174236855644e-08,0.0013521621003746986,0.240977942943573,0.008699648082256317,0.008699648082256317,0.017399296164512634,0.017193470150232315,1601045076,0.0002058260142803192,0,0.0,0.0010000000474974513,-0.09852425009012222
4,dashing-breeze-353,0.002,False,True,sgdm,500,,nin.cifar10_svhn,,v3,dataset,sep24_v3,0.001,complexity.log_sum_of_spec_fft,False,log_sum_of_spec,True,499,157,0.01072762906551361,2.4653644459249335e-08,0.0014671003445982933,0.2474733740091324,0.00541932787746191,0.00541932787746191,0.01083865575492382,0.010616603307425976,1601044918,0.0002220524474978447,1,-0.0014554543886333704,0.07949188351631165,0.05519536137580872
5,bright-galaxy-352,0.002,False,True,sgdm,500,,nin.cifar10_svhn,,v3,dataset,sep24_v3,0.001,complexity.param_norm,False,param_norm,True,499,155,0.011332204565405846,6.599406798812879e-09,0.001555008813738823,0.246278777718544,0.005694823805242777,0.005694823805242777,0.011389647610485554,0.011274761520326138,1601044738,0.0001148860901594162,1,-0.0013259993866086006,0.07589225471019745,0.05631064251065254
6,stoic-dragon-350,0.002,False,True,sgdm,500,,nin.cifar10_svhn,,v3,depth,sep24_v3,0.001,complexity.log_sum_of_spec_fft,False,log_sum_of_spec,True,499,348,0.01171116717159748,1.9751037143578287e-06,0.0005854657501913607,0.23846612870693207,0.0025967645924538374,0.0025967645924538374,0.01298382319509983,0.009871019050478935,1601044916,0.0031128041446208954,1,0.00040597590850666165,0.05682867392897606,-0.00046794788795523345
7,sunny-jazz-350,0.01,False,True,sgdm,500,,nin.cifar10_svhn,,v3,depth,sep24_v3,0.001,complexity.path_norm,True,path_norm,True,499,369,0.016569459810853004,1.7667697420620243e-06,0.0005980408750474453,0.2610763907432556,0.0034804060123860836,0.0034804060123860836,0.017402030527591705,0.01423019263893366,1601044937,0.0031718378886580467,4,0.0,0.0010000000474974513,0.009587789885699747
8,upbeat-yogurt-349,0.002,False,True,sgdm,500,,nin.cifar10_svhn,,v3,depth,sep24_v3,0.001,complexity.param_norm,False,param_norm,True,499,369,0.012113737873733044,2.0442976165213622e-06,0.0006559607572853565,0.24044376611709595,0.0026739861350506544,0.0026739861350506544,0.013369930908083916,0.00972563773393631,1601044934,0.003644293174147606,1,0.0005440310924313962,0.0539458766579628,-0.0004242198192514479
9,olive-blaze-348,0.01,False,True,sgdm,500,,nin.cifar10_svhn,,v3,width,sep24_v3,0.001,complexity.path_norm,True,path_norm,True,499,374,0.01652001030743122,3.6383685397822774e-08,8.156397598213516e-06,0.27337586879730225,0.0033491174690425396,0.0033491174690425396,0.016745587810873985,0.016302697360515594,1601044932,0.0004428904503583908,2,0.0,0.0010000000474974513,9.42727638175711e-08
