,name,lr,rex,bias,optim,steps,dataset,datafile,datasize,exp_type,env_split,wandb_tag,weight_init,actual_measure,only_bias__ignore_input,selected_single_measure,nonnegative_weights_only,bias,loss,_step,weight,_runtime,risk_max,risk_min,bias_grad,train_mse,_timestamp,risk_range,rex_penalty,risk_argmax,weight_grad,irmv1_penalty,robustness_penalty
0,icy-dawn-6727,1,False,True,sgdm,500,,nin_adjusted,,v3,train_size,june10_v3,0.001,complexity.path_norm_adjusted1,True,path_norm,True,0.2730712890625,0.009553169831633568,499,0.0010000000474974513,7.000654220581055,0.03821267932653427,0.007789606228470802,-0.07079894840717316,0.01819607801735401,1591802576.996318,0.03042307309806347,0.00019885860092472285,0,0.0,0.0013902115169912577,0.009553169831633568
1,prime-shape-6726,1,False,True,sgdm,500,,nin_adjusted,,v3,train_size,june10_v3,0.001,complexity.dist_spec_init_adjusted1,False,dist_spec_init,True,0.34413179755210876,0.01338169164955616,499,0.008823834359645844,7.350915431976318,0.05352676659822464,0.019083384424448013,0.10948660224676132,0.033578306436538696,1591802576.364714,0.03444338217377663,0.00023390003480017185,3,-0.128444641828537,0.014122203923761845,0.01338169164955616
2,dutiful-lion-6725,1,False,True,sgdm,500,,nin_adjusted,,v3,train_size,june10_v3,0.001,complexity.fro_dist_adjusted1,False,fro_dist,True,0.27892592549324036,0.003735737642273307,499,0.07762809842824936,8.974095106124878,0.014942950569093227,0.004769294988363981,8.658389560878276e-10,0.00943599548190832,1591802574.572303,0.010173656046390532,1.9920375052606687e-05,0,2.663000486791134e-09,4.295484541216865e-05,0.003735737642273307
3,robust-cosmos-6723,1,False,True,sgdm,500,,nin_adjusted,,v3,train_size,june10_v3,0.001,complexity.inverse_margin_adjusted1,False,inverse_margin,True,0.23037929832935333,0.00805966928601265,499,0.0109749436378479,10.724722385406494,0.0322386771440506,0.009195900522172453,-0.05932104587554931,0.016829710453748703,1591802572.8174107,0.023042775690555573,0.00011270071991020814,0,-0.0914616584777832,0.0013396774884313345,0.00805966928601265
4,robust-resonance-6724,1,False,True,sgdm,500,,nin_adjusted,,v3,train_size,june10_v3,0.001,complexity.fro_over_spec_adjusted1,False,fro_over_spec,True,0.2575170397758484,0.010296376422047617,499,0.07757600396871567,10.21822452545166,0.04118550568819046,0.008726376108825207,0.06239741295576096,0.021708538755774495,1591802573.1073935,0.03245912864804268,0.0002052462805295363,0,0.11206209659576416,0.006005481816828251,0.010296376422047617
5,devout-pine-6721,1,False,True,sgdm,500,,nin_adjusted,,v3,train_size,june10_v3,0.001,complexity.log_prod_of_fro_adjusted1,False,log_prod_of_fro,True,0.2730712890625,0.009553169831633568,499,0.0,10.918407201766968,0.03821267932653427,0.007789606228470802,-0.07079894840717316,0.01819607801735401,1591802572.626537,0.03042307309806347,0.00019885860092472285,0,0.02175513654947281,0.0013902115169912577,0.009553169831633568
6,fanciful-eon-6718,1,False,True,sgdm,500,,nin_adjusted,,v3,train_size,june10_v3,0.001,complexity.log_prod_of_spec_over_margin_adjusted1,False,log_prod_of_spec_over_margin,True,0.2730712890625,0.009553169831633568,499,0.0,11.126699209213257,0.03821267932653427,0.007789606228470802,-0.07079894840717316,0.01819607801735401,1591802572.3994014,0.03042307309806347,0.00019885860092472285,0,0.02201385796070099,0.0013902115169912577,0.009553169831633568
7,lucky-meadow-6720,1,False,True,sgdm,500,,nin_adjusted,,v3,train_size,june10_v3,0.001,complexity.log_prod_of_fro_over_margin_adjusted1,False,log_prod_of_fro_over_margin,True,0.2730712890625,0.009553169831633568,499,0.0,11.00589632987976,0.03821267932653427,0.007789606228470802,-0.07079894840717316,0.01819607801735401,1591802572.596732,0.03042307309806347,0.00019885860092472285,0,0.02186361514031887,0.0013902115169912577,0.009553169831633568
8,woven-flower-6720,1,False,True,sgdm,500,,nin_adjusted,,v3,train_size,june10_v3,0.001,complexity.log_sum_of_fro_adjusted1,False,log_sum_of_fro,True,0.19429366290569303,0.006369909271597862,499,0.1055176556110382,12.50325870513916,0.02547963708639145,0.01270496379584074,0.027185926213860512,0.01768118143081665,1591802572.6096575,0.012774673290550709,3.18963429890573e-05,0,0.04696769639849663,0.0008369443821720779,0.006369909271597862
9,lyric-cherry-6719,1,False,True,sgdm,500,,nin_adjusted,,v3,train_size,june10_v3,0.001,complexity.log_prod_of_spec_adjusted1,False,log_prod_of_spec,True,0.2730712890625,0.009553169831633568,499,0.0,11.006608486175535,0.03821267932653427,0.007789606228470802,-0.07079894840717316,0.01819607801735401,1591802572.5124636,0.03042307309806347,0.00019885860092472285,0,0.021684030070900917,0.0013902115169912577,0.009553169831633568
10,dark-puddle-6715,1,False,True,sgdm,500,,nin_adjusted,,v3,train_size,june10_v3,0.001,complexity.log_sum_of_spec_adjusted1,False,log_sum_of_spec,True,0.10268787294626236,0.006482247728854418,499,0.19185563921928409,11.506714582443236,0.02592899091541767,0.016757333651185036,-0.03167567402124405,0.020067468285560608,1591802570.6565323,0.009171657264232635,1.813944436435122e-05,0,-0.026886820793151855,0.0005913067143410444,0.006482247728854418
11,upbeat-totem-6713,1,False,True,sgdm,500,,nin_adjusted,,v3,train_size,june10_v3,0.001,complexity.pacbayes_flatness_adjusted1,False,pacbayes_flatness,True,0.3455947935581207,0.0077970148995518684,499,0.04397548735141754,11.666523694992064,0.03118805959820747,0.004170364234596491,0.06804817914962769,0.013749668374657633,1591802570.3806884,0.02701769582927227,0.00014999869745224714,0,0.09074623882770538,0.004952264949679375,0.0077970148995518684
